    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   1.258e+02   5.648e-01   2.121e+02
         1.0   9.121e+01   5.845e-01   1.883e+02
         1.0   1.236e+02   2.574e-01   1.392e+02
         1.0   1.237e+02   5.083e-01   2.418e+02
         1.0   1.266e+02   6.864e-01   2.074e+02
         1.0   1.250e+02   2.172e-01   1.347e+02
         1.0   1.238e+02   6.935e-01   1.928e+02
         1.0   1.268e+02   8.271e-01   2.547e+02
         1.0   1.254e+02   6.133e-01   1.225e+02
         1.0   1.259e+02   1.587e-01   2.231e+02
         1.0   1.221e+02   3.937e-01   1.175e+02
         1.0   1.197e+02   2.495e-01   1.498e+02
         1.0   1.263e+02   3.962e-01   2.288e+02
         1.0   1.250e+02   4.598e-01   1.307e+02
         1.0   1.251e+02   5.694e-01   1.241e+02
         1.0   1.253e+02   2.213e-01   2.119e+02
         1.0   1.220e+02   6.513e-01   2.234e+02
         1.0   1.389e+02   3.120e-03   1.942e+02
         1.0   1.258e+02   4.275e-01   1.921e+02
         1.0   1.260e+02   9.276e-01   3.070e+02
         1.0   1.242e+02   3.414e-01   3.457e+02
         1.0   1.253e+02   8.843e-01   2.099e+02
         1.0   1.243e+02   9.750e-01   2.035e+02
         1.0   1.264e+02   3.730e-01   1.941e+02
         1.0   1.249e+02   4.714e-01   2.362e+02
         1.0   1.241e+02   8.451e-01   1.727e+02
         1.0   1.255e+02   5.388e-01   2.020e+02
         1.0   1.255e+02   3.402e-01   1.454e+02
         1.0   1.260e+02   5.418e-01   1.712e+02
         1.0   1.261e+02   5.948e-01   1.801e+02
         1.0   1.261e+02   6.164e-01   1.663e+02
         1.0   1.254e+02   9.024e-01   8.361e+01
         1.0   1.232e+02   5.599e-01   1.325e+02
         1.0   1.239e+02   7.955e-01   1.312e+02
         1.0   1.195e+02   5.824e-01   1.783e+02
         1.0   1.257e+02   8.345e-01   1.764e+02
         1.0   1.263e+02   5.560e-01   1.825e+02
         1.0   1.245e+02   8.167e-01   1.673e+02
         1.0   1.142e+02   3.597e-01   1.937e+02
         1.0   1.251e+02   8.218e-01   8.121e+01
         1.0   1.236e+02   5.641e-01   1.851e+02
         1.0   1.241e+02   3.721e-01   1.437e+02
         1.0   1.224e+02   7.332e-01   1.670e+02
         1.0   1.262e+02   3.857e-01   1.600e+02
         1.0   1.250e+02   3.082e-01   1.919e+02
         1.0   1.226e+02   6.915e-01   2.195e+02
         1.0   1.278e+02   8.373e-01   1.845e+02
         1.0   1.232e+02   8.574e-01   1.991e+02
         1.0   1.256e+02   7.071e-01   1.641e+02
         1.0   1.254e+02   6.109e-01   1.889e+02
         1.0   1.307e+02   9.241e-01   2.107e+02
         1.0   1.231e+02   6.112e-01   5.717e+01
         1.0   1.263e+02   4.524e-01   2.625e+02
         1.0   1.228e+02   9.027e-01   1.882e+02
         1.0   1.270e+02   8.886e-01   1.847e+02
         1.0   1.242e+02   9.060e-01   1.972e+02
         1.0   1.263e+02   5.693e-01   1.991e+02
         1.0   1.263e+02   2.036e-01   2.058e+02
         1.0   1.257e+02   7.856e-01   2.038e+02
         1.0   1.259e+02   9.758e-01   1.856e+02
         1.0   1.220e+02   7.520e-01   1.099e+02
         1.0   1.253e+02   7.014e-01   1.111e+02
         1.0   1.280e+02   4.981e-01   1.843e+02
         1.0   1.051e+02   4.924e-01   1.546e+02
         1.0   1.264e+02   5.660e-01   2.313e+02
         1.0   1.259e+02   8.454e-01   2.605e+02
         1.0   1.254e+02   4.203e-01   2.293e+02
         1.0   1.259e+02   3.483e-01   1.906e+02
         1.0   1.264e+02   9.426e-01   1.185e+02
         1.0   1.249e+02   6.707e-01   2.011e+02
         1.0   1.273e+02   6.190e-01   1.716e+02
         1.0   1.230e+02   5.299e-01   9.889e+01
         1.0   1.251e+02   1.570e-01   1.290e+02
         1.0   1.272e+02   5.066e-01   2.801e+02
         1.0   1.255e+02   9.333e-02   1.914e+02
         1.0   1.282e+02   4.386e-01   1.700e+02
         1.0   1.240e+02   9.423e-01   1.208e+02
         1.0   1.262e+02   2.559e-01   1.814e+02
         1.0   1.243e+02   6.858e-01   1.383e+02
         1.0   1.229e+02   4.915e-01   2.187e+02
         1.0   1.260e+02   7.132e-01   1.793e+02
         1.0   1.261e+02   3.241e-01   1.994e+02
         1.0   1.173e+02   4.966e-01   1.998e+02
