    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   1.241e+02   9.619e-01   9.722e+01
         1.0   1.233e+02   9.140e-01   4.320e+01
         1.0   1.249e+02   6.845e-01   1.318e+02
         1.0   1.254e+02   9.416e-01   9.358e+01
         1.0   1.324e+02   3.004e-01   3.258e+01
         1.0   1.269e+02   2.030e-01   1.926e+02
         1.0   1.219e+02   6.364e-01   2.006e+02
         1.0   1.276e+02   8.552e-01   9.585e+01
         1.0   1.257e+02   5.592e-01   3.456e+01
         1.0   1.254e+02   6.914e-01   1.771e+02
         1.0   1.249e+02   7.162e-01   5.388e+01
         1.0   1.274e+02   5.917e-01   1.545e+02
         1.0   1.260e+02   2.643e-01   6.313e+01
         1.0   1.271e+02   9.809e-01   4.728e+00
         1.0   1.264e+02   2.927e-01   1.679e+02
         1.0   1.164e+02   7.367e-01   6.699e+01
         1.0   1.270e+02   3.099e-02   6.445e+01
         1.0   1.267e+02   3.790e-01   1.852e+01
         1.0   1.286e+02   8.407e-01   5.164e+01
         1.0   1.248e+02   6.165e-01   3.189e+01
         1.0   1.269e+02   7.107e-01   1.369e+02
         1.0   1.246e+02   4.442e-01   2.034e+02
         1.0   1.272e+02   1.766e-01   5.172e+01
         1.0   1.253e+02   7.326e-01   1.116e+02
         1.0   1.207e+02   7.398e-01   9.729e+01
         1.0   1.259e+02   5.085e-01   7.854e+01
         1.0   1.246e+02   5.854e-01   6.416e+01
         1.0   1.233e+02   7.809e-01   6.268e+01
         1.0   1.242e+02   9.018e-01   9.745e+01
         1.0   1.284e+02   2.960e-01   2.985e+02
         1.0   1.595e+02   3.733e-01   7.172e+01
         1.0   1.256e+02   9.918e-01   3.945e+01
         1.0   1.254e+02   1.943e-01   3.891e+01
         1.0   1.221e+02   8.799e-01   1.034e+02
         1.0   1.224e+02   2.969e-01   2.664e+01
         1.0   1.179e+02   6.559e-01   1.873e+01
         1.0   1.257e+02   4.190e-01   1.394e+02
         1.0   1.240e+02   8.927e-01   3.895e+01
         1.0   1.259e+02   7.977e-01   1.258e+02
         1.0   1.249e+02   1.469e-01   8.979e+01
         1.0   1.254e+02   6.374e-01   5.321e+01
         1.0   1.245e+02   8.795e-01   1.117e+02
         1.0   1.258e+02   2.831e-01   1.131e+01
         1.0   1.159e+02   9.614e-01   2.944e+01
         1.0   1.237e+02   8.672e-01   8.427e+01
         1.0   1.243e+02   6.435e-01   5.450e+01
         1.0   1.249e+02   1.791e-01   6.995e+01
         1.0   1.253e+02   7.918e-01   1.098e+02
         1.0   1.237e+02   6.943e-01   1.528e+02
         1.0   1.246e+02   4.483e-01   1.386e+02
         1.0   1.242e+02   2.903e-01   1.347e+02
         1.0   1.252e+02   3.380e-01   6.986e+01
         1.0   1.230e+02   7.986e-01   9.507e+01
         1.0   1.259e+02   1.949e-01   6.858e+01
         1.0   1.233e+02   8.104e-01   7.933e+01
         1.0   1.279e+02   2.360e-01   1.103e+02
         1.0   1.197e+02   8.474e-01   1.262e+02
         1.0   1.256e+02   5.759e-01   6.183e+01
         1.0   1.245e+02   5.206e-01   6.150e+02
         1.0   1.270e+02   8.890e-01   5.374e+01
         1.0   1.238e+02   8.045e-01   3.195e+01
         1.0   1.249e+02   9.329e-01   1.142e+02
         1.0   1.231e+02   5.428e-01   2.512e+02
         1.0   1.280e+02   2.489e-01   2.256e+01
         1.0   1.219e+02   6.364e-01   2.006e+02
         1.0   1.233e+02   4.421e-01   6.894e+01
         1.0   7.392e+01   4.538e-01   3.038e+01
         1.0   1.178e+02   7.154e-01   2.286e+01
         1.0   1.243e+02   6.229e-01   4.317e+01
         1.0   1.270e+02   7.375e-01   2.213e+02
         1.0   1.206e+02   7.251e-01   2.220e+02
         1.0   1.251e+02   6.126e-01   3.207e+01
         1.0   1.257e+02   6.708e-01   1.113e+02
         1.0   1.109e+02   9.507e-01   4.967e+01
         1.0   1.258e+02   4.008e-01   2.954e+01
         1.0   1.247e+02   9.446e-01   2.222e+02
         1.0   1.250e+02   5.949e-01   7.512e+01
         1.0   1.248e+02   9.128e-01   2.473e+01
         1.0   1.242e+02   6.883e-01   6.558e+01
         1.0   1.253e+02   2.561e-01   1.541e+02
         1.0   1.248e+02   6.106e-01   2.509e+02
         1.0   1.260e+02   2.025e-01   4.640e+01
         1.0   1.257e+02   3.536e-01   3.414e+02
         1.0   1.247e+02   8.353e-01   5.600e+01
         1.0   1.283e+02   8.842e-01   7.504e+01
         1.0   1.249e+02   3.628e-01   8.237e+01
         1.0   1.242e+02   1.695e-01   1.055e+02
         1.0   1.244e+02   6.036e-01   9.121e+01
         1.0   1.267e+02   7.475e-01   1.361e+02
         1.0   1.252e+02   8.766e-01   7.940e+01
         1.0   1.316e+02   9.556e-01   1.389e+02
         1.0   1.259e+02   7.857e-01   8.259e+01
         1.0   1.251e+02   5.791e-01   7.079e+01
         1.0   1.260e+02   4.034e-02   9.411e+01
         1.0   1.110e+02   4.374e-01   1.080e+02
         1.0   1.244e+02   5.590e-01   2.008e+01
         1.0   1.253e+02   5.218e-01   1.232e+02
         1.0   1.233e+02   6.542e-01   5.328e+01
         1.0   1.175e+02   8.681e-01   4.696e+01
         1.0   1.260e+02   7.573e-01   1.044e+02
         1.0   1.120e+02   7.632e-01   4.431e+01
         1.0   1.267e+02   4.429e-01   2.543e+01
         1.0   1.237e+02   8.922e-01   5.247e+01
         1.0   1.245e+02   3.188e-01   9.569e+01
         1.0   1.243e+02   5.381e-01   9.093e+01
         1.0   1.241e+02   3.109e-01   1.961e+02
         1.0   1.269e+02   9.064e-01   1.190e+02
         1.0   1.230e+02   7.986e-01   9.507e+01
