        f_mass4l     f_D_bkg_kin         f_pfmet         target
      2.2794e-01      7.2625e-01      2.5733e+00               1
      3.8783e-01      1.3707e+00      2.4094e+00               1
      1.0824e+00      5.8213e-01     -5.7538e-01               0
      4.1281e-01      2.0358e-01      1.0302e-01               1
      3.7783e-01      1.4391e+00     -1.3972e-01               1
      4.9276e-01      1.1257e+00     -6.2825e-01               1
      6.0268e-01      1.1144e+00     -5.3984e-01               0
      3.9282e-01      1.2124e+00      2.2873e+00               1
      3.2287e-01      6.2996e-02     -3.9035e-01               1
      2.0767e+00      1.0906e+00     -4.9990e-01               0
     -1.4015e+00      4.9572e-01     -5.7106e-01               0
      4.6278e-01      9.2278e-01      4.5721e-01               1
     -1.1281e+00      6.9934e-01     -5.5590e-01               0
      4.2780e-01      1.2404e+00     -2.7616e-01               1
     -1.1836e+00     -1.3354e+00     -6.5383e-01               0
     -1.3950e+00      1.3336e+00     -6.3162e-01               0
      5.1274e-01      9.4297e-01      1.7917e-01               1
      1.2301e-01      1.5510e+00     -6.3745e-01               0
     -8.6232e-01     -1.3903e+00     -5.6673e-01               0
      4.4279e-01      1.5149e+00     -2.0728e-02               1
     -1.3405e+00      1.7861e+00     -6.3606e-01               0
     -1.0947e+00     -1.1598e+00     -5.5241e-01               0
     -7.6856e-02      5.7327e-01      1.4110e-01               1
      1.5299e-01     -3.4990e-01     -6.1790e-01               0
      3.7783e-01      1.5825e-01      2.5374e-01               1
      5.2773e-01     -1.2154e+00     -1.3589e-02               1
      3.2287e-01      2.0145e-01      6.9916e-01               1
      2.3293e-01      1.0634e+00     -5.9319e-01               1
      5.3273e-01     -1.3844e+00     -6.3940e-01               0
      3.1788e-01      4.9572e-01     -4.7182e-01               1
     -6.2148e-01     -1.1690e+00      2.3047e+00               1
      4.4279e-01      1.2358e+00      2.6673e+00               1
     -1.6673e+00     -1.5759e+00     -5.9640e-01               0
      3.9282e-01      6.6818e-01     -5.4730e-01               1
      4.3779e-01      7.4998e-01      2.1937e+00               1
     -1.1052e+00     -1.4225e+00     -6.3908e-01               0
      3.5285e-01      1.4391e+00      1.9216e+00               1
      4.1781e-01      8.6010e-01      6.4548e-02               1
     -1.4454e+00     -1.5692e+00     -5.7847e-01               0
      3.4785e-01      9.0685e-01     -5.9795e-01               1
      4.1281e-01      9.3801e-01     -2.2103e-01               1
     -1.6113e+00     -1.4778e+00     -6.2504e-01               0
      2.4764e+00     -1.5064e+00     -4.1494e-01               0
      2.0667e+00      4.0047e-01     -6.1246e-01               0
      7.2760e-01     -8.0529e-01     -6.9293e-01               0
     -6.9034e-03     -4.2037e-01     -3.9285e-01               1
     -1.1826e+00     -1.5933e+00     -6.8540e-01               0
      1.8318e+00      6.8659e-01     -6.8170e-01               0
      4.8776e-01      1.3863e+00      2.6212e+00               1
      4.2780e-01      1.4593e+00      9.1519e-02               1
      9.4245e-01     -1.6151e-01     -5.1061e-01               0
      3.4286e-01      1.4617e+00      5.4527e-01               1
     -1.2985e+00      5.6867e-01     -6.4308e-01               0
      1.0302e-01      1.4940e+00     -4.7813e-01               1
      4.3779e-01      8.3957e-01      7.2481e-02               1
      3.3786e-01      5.4990e-01      2.3519e+00               1
      1.1301e-01     -2.4614e-01     -6.1544e-01               0
     -3.6883e-02     -1.4735e-01     -6.6878e-01               0
     -1.2870e+00     -7.0578e-01     -5.6665e-01               0
      5.2773e-01     -3.2228e-01      1.4250e+00               1
      4.2280e-01      8.5231e-01      2.2119e+00               1
      5.4272e-01      9.0508e-01     -4.3267e-01               1
     -1.6679e-01     -9.0869e-01     -4.5905e-01               1
     -8.2634e-01      3.6824e-01      2.1639e+00               1
      3.1288e-01      1.1593e+00     -3.2149e-01               1
     -1.6533e+00     -5.4926e-01      2.4229e+00               1
      3.9782e-01      3.8878e-01     -5.1676e-01               1
     -1.2850e+00     -1.1289e+00     -6.4229e-01               0
      4.2780e-01      1.3403e+00      1.7074e+00               1
      4.4779e-01     -5.2058e-01      2.5812e+00               1
      2.6213e+00     -5.2200e-01     -5.5158e-01               0
      8.8249e-01      3.9338e-01     -6.8223e-01               0
      5.5272e-01      1.6459e+00      1.4333e+00               1
     -1.1571e+00     -1.5808e+00     -5.2620e-01               0
     -1.3870e+00     -9.1648e-01     -5.6523e-01               0
     -6.4647e-01      7.6733e-01     -6.3059e-01               0
     -1.4374e+00     -1.3978e+00     -5.2715e-01               0
     -1.2356e+00     -1.5297e+00     -4.9125e-01               0
      4.2280e-01      6.3099e-01     -2.2896e-01               1
     -1.6679e-01      5.9594e-01     -6.6582e-01               0
      1.7297e-01      4.9254e-01     -6.2631e-01               0
      4.2280e-01     -8.6832e-01      2.6423e+00               1
     -1.0557e+00     -1.1013e+00     -6.0057e-01               0
      5.3773e-01      1.3424e+00     -5.1850e-01               1
      4.0781e-01      1.1338e+00      2.4224e-01               1
      2.4792e-01      9.8900e-01     -5.1557e-01               1
     -1.1047e+00     -9.2462e-01     -6.0493e-01               0
     -1.3305e+00     -1.4554e-02     -6.3825e-01               0
      4.5778e-01      6.4413e-02     -6.3920e-01               0
     -1.2051e+00     -1.0433e+00     -6.4047e-01               0
      4.6278e-01      1.6013e+00     -1.6898e-03               1
     -1.0877e+00     -9.7491e-01     -6.4146e-01               0
      1.9168e+00     -9.4516e-01     -6.7813e-01               0
      5.1774e-01     -6.0769e-01      8.9629e-01               1
      2.1295e-01      1.8410e-01      2.5185e+00               1
      3.4785e-01      9.4332e-01     -6.2186e-01               0
      2.6291e-01      3.3566e-01     -2.6585e-01               1
      5.2274e-01     -7.4720e-03     -3.7387e-02               1
      2.1816e+00     -1.1884e+00     -6.7618e-01               0
      4.2280e-01     -1.7284e-01      3.0015e-01               1
     -1.2630e+00      5.9809e-02     -6.1889e-01               0
     -1.1721e+00     -1.3926e+00     -6.6071e-01               0
      5.9768e-01      1.0411e+00      1.1333e-01               1
      4.7777e-01      6.6892e-02      1.0302e-01               1
      4.6278e-01      1.0110e+00      8.9932e-02               1
     -1.3845e+00     -1.5796e+00     -5.3326e-01               0
     -1.7042e+00     -1.3836e+00     -6.4955e-01               0
     -1.0522e+00      1.3870e+00      2.2036e+00               1
     -1.4944e+00      5.3751e-01     -5.6126e-01               0
      6.3266e-01      5.0248e-02     -2.1508e-01               1
      2.9789e-01      6.3737e-01     -6.4705e-01               0
      1.7297e-01     -1.1969e+00     -8.4189e-02               1
      2.3793e-01     -4.1045e-01     -5.6344e-01               0
      4.4279e-01      1.3158e+00      1.7114e+00               1
      3.9782e-01      1.1353e+00     -3.2627e-02               1
     -7.9137e-01     -3.1484e-01     -6.0350e-01               0
      6.7263e-01      5.8992e-01     -3.1404e-01               1
      3.3286e-01      8.4807e-01      3.2421e-02               1
     -1.2531e+00     -1.4134e+00     -5.6328e-01               0
      2.8290e-01      1.0779e+00      1.8909e-01               1
      3.6784e-01     -6.4629e-01      1.4705e-01               1
     -1.0184e-01      4.7518e-01     -6.5772e-01               0
      3.7783e-01      4.9997e-01      8.0810e-02               1
     -1.3835e+00     -7.3270e-01     -6.0929e-01               0
      4.1781e-01     -9.0334e-02      5.1856e-02               1
     -1.3005e+00      9.5607e-01     -6.6598e-01               0
     -1.9191e+00      5.7788e-01      2.1818e+00               1
      5.1774e-01     -1.5297e+00     -5.9279e-01               0
      4.5778e-01     -1.4247e+00      2.6637e+00               1
     -1.2346e+00      8.8879e-01     -6.3361e-01               0
     -1.2620e+00     -7.2597e-01     -5.3242e-01               0
     -1.3860e+00     -1.6186e+00     -6.5312e-01               0
      1.9296e-01      9.5749e-01      1.0104e-01               1
      6.4765e-01      2.6130e-01     -5.5178e-01               0
     -1.0307e+00     -1.1523e+00     -6.5011e-01               0
      1.5798e-01     -2.2454e-01     -6.5260e-01               0
      4.7277e-01      3.3743e-01      1.7276e+00               1
      2.2794e-01      1.0290e+00      2.1842e+00               1
      5.5771e-01      1.2305e+00      1.4425e+00               1
     -1.3050e+00     -4.0550e-01     -6.6594e-01               0
      2.1794e-01      2.1951e-01     -2.8797e-03               1
      8.1753e-01     -3.6831e-01     -5.2279e-01               0
      3.8783e-01      6.1152e-01     -4.9177e-01               0
      3.1288e-01      1.5297e+00      2.5134e+00               1
      1.7797e-01      1.4501e+00     -4.7460e-01               1
     -3.1886e-02      1.5315e+00     -6.3376e-01               0
      4.6278e-01     -1.8736e-01     -9.4105e-02               1
     -1.2176e+00     -1.5481e+00     -6.8524e-01               0
      3.4286e-01     -5.4147e-01     -5.1311e-01               0
     -1.3185e+00     -6.4452e-01     -6.2305e-01               0
      5.1274e-01      1.3675e+00      2.0456e-01               1
      2.5713e+00     -1.6393e+00     -5.2556e-01               0
      4.0282e-01      7.5600e-01     -3.8825e-01               1
      3.8783e-01     -8.0529e-01      1.6555e-02               1
      3.3069e-02      4.8935e-01      1.7561e-01               1
      4.3779e-01     -1.0241e+00      5.3694e-01               1
      2.8290e-01      6.5366e-01     -6.2024e-01               0
     -1.2830e+00     -6.0911e-01     -5.8712e-01               0
     -9.8274e-01      1.2656e+00     -5.4218e-01               0
      3.5785e-01      1.3948e-01      8.6971e-01               1
      5.1774e-01     -1.1120e+00     -4.4612e-01               1
      6.3049e-02      8.7002e-01      1.1957e+00               1
      3.0289e-01      9.0543e-01     -6.4253e-01               0
     -1.0317e+00     -9.6039e-01     -2.0794e-01               1
      5.8269e-01      1.7100e-01     -6.3499e-01               0
     -1.8417e+00      6.1400e-01      2.3142e+00               1
      4.3779e-01      2.6732e-01      2.0136e+00               1
     -1.3410e+00      5.4494e-01     -5.8688e-01               0
      4.1281e-01      3.9480e-01     -4.5000e-01               1
     -3.0670e-01     -1.3549e+00     -6.1540e-01               0
     -1.2446e+00     -2.2808e-01     -6.0882e-01               0
      4.2780e-01      6.1683e-01     -2.4007e-01               1
      1.0374e+00      6.1825e-01     -3.8742e-01               0
      1.9796e-01      2.2695e-01      2.4852e+00               1
     -8.7181e-01     -8.6195e-01     -6.2171e-01               0
     -6.8644e-01      1.5188e-01     -6.0358e-01               0
      5.1274e-01      8.9977e-01     -6.2555e-01               0
     -1.3375e+00     -1.6686e+00     -6.2258e-01               0
      1.8297e-01     -6.1761e-01     -6.0794e-01               0
      3.1788e-01      1.0956e+00     -1.2742e-01               1
      7.3259e-01     -5.0181e-01     -6.1956e-01               0
     -1.1721e+00      9.8086e-01     -6.6052e-01               0
      3.1288e-01      2.0783e-01     -3.0634e-01               1
     -1.3120e+00     -1.1371e+00     -5.8716e-01               0
     -1.4020e+00     -1.4309e+00     -6.9487e-01               0
      1.9318e+00      2.0181e-01     -5.1160e-01               0
      4.6278e-01      1.7472e+00      1.7943e+00               1
      4.1781e-01     -2.2879e-01      5.1711e-01               1
     -1.0852e+00     -6.2505e-01     -6.1056e-01               0
      4.6777e-01     -1.0776e+00     -5.9731e-01               0
     -1.1641e+00     -1.2515e+00     -5.8355e-01               0
      2.6791e-01      4.2596e-01      2.7220e+00               1
      4.9775e-01     -4.7841e-02      7.2137e-01               1
     -1.4759e+00     -1.5846e+00     -6.6455e-01               0
      4.5278e-01     -2.1888e-01     -1.3694e-01               1
      4.4279e-01      1.3651e+00     -5.3254e-01               1
      7.6757e-01     -1.0284e+00     -6.2286e-01               0
