    f_weight    f_mass4l f_D_bkg_kin     f_pfmet
         1.0   1.230e+02   7.898e-01   8.276e+02
         1.0   1.122e+02   7.889e-01   7.287e+02
         1.0   9.454e+01   5.263e-01   4.844e+02
         1.0   1.253e+02   5.288e-01   6.131e+02
         1.0   1.235e+02   5.878e-01   6.130e+02
         1.0   1.249e+02   4.850e-01   6.122e+02
         1.0   8.672e+01   9.483e-01   7.553e+02
         1.0   1.261e+02   8.931e-01   5.304e+02
         1.0   1.254e+02   6.010e-01   6.889e+02
         1.0   1.249e+02   2.835e-01   7.974e+02
         1.0   1.251e+02   6.187e-01   7.505e+02
         1.0   1.250e+02   5.131e-01   7.928e+02
         1.0   1.249e+02   1.875e-01   7.207e+02
         1.0   1.269e+02   5.880e-01   4.832e+02
         1.0   1.261e+02   2.839e-01   7.084e+02
         1.0   1.253e+02   9.560e-01   7.266e+02
         1.0   1.263e+02   6.975e-01   6.788e+02
         1.0   1.257e+02   8.489e-01   2.046e+02
         1.0   1.267e+02   6.608e-01   7.889e+02
         1.0   1.206e+02   4.623e-01   4.615e+02
         1.0   8.092e+01   8.106e-01   8.219e+02
         1.0   1.260e+02   2.991e-01   4.488e+02
         1.0   1.248e+02   9.167e-01   5.944e+02
         1.0   8.821e+01   6.190e-01   7.580e+02
         1.0   1.260e+02   6.859e-01   7.419e+02
         1.0   1.177e+02   2.685e-01   7.170e+02
         1.0   1.215e+02   7.281e-01   8.466e+02
         1.0   1.267e+02   3.476e-01   4.553e+02
         1.0   1.253e+02   4.636e-01   5.673e+02
         1.0   1.259e+02   2.734e-01   7.523e+02
         1.0   1.271e+02   4.223e-01   8.153e+02
         1.0   1.055e+02   2.195e-01   7.413e+02
         1.0   1.268e+02   7.694e-01   6.028e+02
         1.0   9.725e+01   1.052e-01   7.385e+02
         1.0   1.269e+02   1.052e-01   8.461e+02
         1.0   1.248e+02   8.622e-01   7.722e+02
         1.0   1.241e+02   4.646e-01   4.325e+02
         1.0   1.253e+02   6.261e-01   7.924e+02
         1.0   8.995e+01   1.150e-04   7.604e+02
         1.0   1.276e+02   6.039e-01   7.438e+02
         1.0   1.269e+02   5.398e-01   6.937e+02
         1.0   1.250e+02   5.640e-01   8.813e+02
         1.0   1.242e+02   1.177e-01   1.659e+03
         1.0   9.663e+01   8.969e-01   7.134e+02
         1.0   1.262e+02   5.422e-01   7.563e+02
         1.0   1.257e+02   5.129e-01   7.772e+02
         1.0   1.262e+02   4.489e-01   7.958e+02
         1.0   1.252e+02   4.041e-01   7.597e+02
         1.0   1.063e+02   5.509e-01   7.673e+02
         1.0   1.190e+02   8.462e-01   7.980e+02
         1.0   1.249e+02   1.291e-01   6.799e+02
         1.0   1.243e+02   4.637e-01   8.232e+02
         1.0   1.216e+02   7.847e-01   8.041e+02
         1.0   1.236e+02   8.394e-01   4.380e+02
         1.0   1.237e+02   8.220e-01   7.070e+02
         1.0   1.263e+02   4.263e-01   8.466e+02
         1.0   1.253e+02   4.782e-01   3.153e+02
         1.0   7.704e+01   4.016e-01   7.695e+02
         1.0   1.277e+02   5.703e-01   8.090e+02
         1.0   1.030e+02   9.497e-01   7.264e+02
         1.0   1.240e+02   5.028e-01   7.942e+02
         1.0   1.127e+02   9.136e-01   7.031e+02
         1.0   9.226e+01   7.860e-01   8.774e+02
         1.0   1.253e+02   4.636e-01   5.673e+02
         1.0   1.069e+02   3.891e-02   8.347e+02
         1.0   1.264e+02   8.615e-01   5.110e+02
         1.0   1.207e+02   5.353e-01   8.027e+02
         1.0   1.263e+02   3.759e-01   3.887e+02
         1.0   1.243e+02   3.487e-02   7.867e+02
         1.0   7.436e+01   7.809e-01   5.880e+02
         1.0   1.262e+02   8.096e-01   7.370e+02
         1.0   7.756e+01   6.025e-01   4.404e+02
         1.0   1.260e+02   3.313e-01   7.936e+02
         1.0   1.247e+02   6.823e-01   2.396e+02
         1.0   1.251e+02   8.681e-01   7.293e+02
         1.0   1.260e+02   4.107e-01   3.927e+02
         1.0   1.254e+02   5.170e-01   6.116e+02
         1.0   1.218e+02   5.147e-01   5.258e+02
         1.0   1.254e+02   7.395e-01   6.905e+02
         1.0   1.264e+02   4.868e-02   5.791e+02
         1.0   1.249e+02   7.420e-01   8.182e+02
         1.0   1.160e+02   9.430e-01   7.724e+02
         1.0   1.256e+02   8.690e-01   7.330e+02
         1.0   1.266e+02   2.388e-01   7.172e+02
         1.0   1.261e+02   4.533e-01   2.984e+02
         1.0   1.204e+02   7.951e-01   7.728e+02
         1.0   8.450e+01   8.860e-01   5.104e+02
         1.0   1.248e+02   5.113e-01   8.151e+02
         1.0   1.259e+02   5.055e-01   6.347e+02
         1.0   1.233e+02   6.155e-01   7.200e+02
         1.0   1.264e+02   5.377e-01   8.379e+02
         1.0   1.236e+02   8.785e-01   5.841e+02
         1.0   1.052e+02   6.978e-01   5.108e+02
