        f_mass4l     f_D_bkg_kin         target
      4.2589e-01      1.1260e+00               1
      2.4041e-01      8.8247e-01               1
      3.9661e-01      1.3959e+00               1
      3.3803e-01      1.0200e+00               1
      2.3065e-01      4.0520e-01               1
      3.2827e-01      1.2338e+00               1
      3.2827e-01     -3.1808e-01               1
      3.1363e-01      1.4401e+00               1
     -1.4460e+00     -1.1038e+00               0
      2.7458e-01      1.2871e+00               1
      9.3841e-01     -1.5954e+00               0
      3.8684e-01     -3.8652e-01               1
     -1.2278e+00     -1.5742e+00               0
      4.4542e-01      1.1053e+00               1
     -4.0878e-01     -1.1000e+00               0
      1.7536e+00     -1.5100e+00               0
     -2.1143e+00     -1.1853e+00               0
      2.7946e-01      1.1057e+00               1
      4.1613e-01      5.0662e-01               1
     -1.2874e+00     -1.5156e+00               0
      2.5541e+00     -1.2196e+00               0
      1.1434e+00      9.5266e-01               0
      4.5030e-01     -6.1568e-01               1
     -1.2679e+00     -1.5622e+00               0
     -1.4114e+00     -1.1993e+00               0
      3.0386e-01      2.8342e-01               1
      2.8922e-01      4.0770e-03               1
     -1.3591e+00     -5.6163e-01               0
      1.7695e-01     -9.8397e-02               0
      2.0416e+00      4.1959e-01               0
      4.1613e-01      1.0779e+00               1
      1.4753e+00     -1.2551e+00               0
      3.7220e-01      1.6570e+00               1
     -1.4070e+00     -1.4170e+00               0
     -1.2381e+00     -1.3180e+00               0
      5.0887e-01     -1.1926e+00               0
      3.9661e-01      2.0376e-01               1
      2.2124e+00     -1.4846e+00               0
      5.4304e-01      1.4254e-02               0
      3.5756e-01     -7.6623e-01               1
      1.0848e+00      1.0867e+00               0
      3.2827e-01      1.6019e+00               1
      5.8697e-01     -1.4812e+00               0
     -1.2239e+00      2.8869e-01               0
      2.4041e-01      4.2941e-01               1
      5.5768e-01      1.0028e+00               1
      1.8073e+00     -1.6345e+00               0
      6.2602e-01     -1.1905e+00               1
     -1.4714e+00     -1.0477e+00               0
      3.4291e-01      1.9218e-01               1
     -1.2391e+00     -1.5358e+00               0
      1.8184e-01     -5.7848e-01               1
      3.5268e-01     -2.1947e-01               1
     -1.5090e+00     -7.5937e-02               0
      3.9661e-01     -8.9152e-01               1
      3.1851e-01     -5.0268e-01               1
      4.8447e-01     -1.0035e+00               1
      1.1727e+00     -2.2509e-01               0
      2.6970e-01     -2.2398e-03               1
      1.3289e+00     -1.0758e+00               0
      5.6745e-01      9.8319e-01               1
     -1.3040e+00     -9.1012e-01               0
      2.0171e+00      1.0127e+00               1
      3.1363e-01      1.2303e+00               1
      1.8951e+00     -2.8334e-01               0
     -2.7699e-01      1.0934e+00               1
      9.3975e-02      1.0646e+00               1
      3.9173e-01      8.4422e-01               1
     -1.3997e+00     -1.0561e+00               0
      2.7946e-01     -6.8918e-02               1
      3.1363e-01      1.1766e+00               1
     -1.1400e+00     -8.9678e-01               1
     -1.1283e+00     -5.4479e-01               0
      1.4656e+00     -1.5991e+00               0
      3.6244e-01      4.2731e-01               1
      1.0862e-01      1.0271e+00               1
      3.7220e-01     -4.4021e-01               1
      2.2577e-01      8.1580e-01               1
      8.7008e-01      1.3463e-01               1
      3.0386e-01      8.0316e-01               0
      4.3566e-01      3.6484e-01               1
      2.1600e-01      1.0755e+00               1
      2.9898e-01     -1.5978e+00               0
      5.1375e-01      9.0985e-01               1
     -1.3772e+00      3.1450e-02               0
      2.3553e-01      1.3222e+00               1
     -1.2498e+00     -1.5753e+00               0
      3.5268e-01      1.4145e+00               1
      4.4054e-01      1.7082e+00               1
     -3.7816e-02      2.3850e-01               0
      3.3803e-01     -3.2054e-01               1
     -9.0959e-01     -1.3489e+00               0
      5.0399e-01     -5.1812e-01               1
      3.8196e-01     -1.8889e-03               1
      1.7975e+00     -1.8262e-01               0
     -5.1129e-01      1.3148e+00               0
      1.0374e-01     -1.3370e+00               0
      4.4542e-01      1.2436e+00               1
     -1.6149e+00     -1.3751e+00               0
      1.4767e-01      1.0207e+00               1
      4.5518e-01     -4.3109e-01               1
      3.9661e-01      1.0520e+00               1
      2.7946e-01      1.2548e+00               1
     -1.7125e+00      3.4203e-01               0
     -2.1354e-01     -1.2502e+00               0
     -1.2483e+00     -6.0199e-01               0
      1.7695e-01      1.3040e+00               0
      7.2852e-01      1.5568e-01               0
      1.5534e+00     -1.4236e+00               0
      2.6482e-01     -3.6090e-01               1
      4.0149e-01      4.2555e-01               1
     -6.9677e-01      6.8560e-01               0
      3.5268e-01      1.7939e+00               1
      2.9898e-01      1.9779e-01               1
      8.4567e-01      6.9402e-01               0
      3.4779e-01      1.4654e+00               1
      5.4304e-01     -7.5395e-01               0
      4.1613e-01      7.1964e-01               1
      1.3875e+00      1.2234e-01               0
      4.6494e-01      1.1274e+00               1
     -8.6627e-02     -1.9455e-01               0
      3.1363e-01     -7.9010e-01               1
      2.9898e-01     -5.9392e-01               1
      3.5756e-01      1.1559e+00               1
      5.0399e-01      1.3373e+00               1
      3.6244e-01      8.5229e-01               1
      3.8684e-01      1.2164e-01               0
      5.0887e-01      7.4842e-01               1
     -1.2527e+00      1.4998e+00               0
      4.1125e-01     -3.5774e-01               1
     -1.5305e+00     -3.6983e-02               0
      1.0848e+00     -1.4660e+00               0
     -9.0764e-01     -1.3479e+00               0
      5.7721e-01     -1.2800e+00               1
      1.8184e-01      7.3563e-02               1
     -1.3909e+00      1.0480e-01               0
      5.2352e-01     -3.4932e-01               1
     -1.4153e+00     -8.7783e-01               0
      4.3077e-01      1.5321e+00               1
