        f_mass4l     f_D_bkg_kin          f_pt4l         target
     -1.0047e+00      5.3458e-02      1.1549e+00               1
     -1.3314e+00     -1.1551e+00     -6.9161e-01               0
      2.1320e+00     -1.4836e+00     -4.6991e-01               0
      3.6259e-01      1.3613e+00      1.1684e+00               1
      3.4287e-01      8.2400e-03      4.5639e-01               1
     -1.2654e+00     -1.3698e+00     -6.7540e-01               0
      1.4173e+00     -1.0258e+00     -6.6596e-01               0
     -1.3896e+00      4.7985e-01     -6.4485e-01               0
      3.6752e-01     -5.5375e-03      2.8928e-01               1
     -1.2186e+00     -1.5107e+00     -5.5381e-01               0
     -1.7331e+00      6.1584e-02     -7.1208e-01               0
      2.5066e+00     -6.3648e-01     -2.2772e-01               0
     -1.5912e+00     -5.1601e-01     -5.8971e-01               0
      6.6863e-02     -8.8624e-01     -6.1313e-01               0
     -1.4630e+00      5.7948e-01     -5.9942e-01               0
     -1.3137e+00     -5.6759e-01     -5.9846e-01               0
      4.8088e-01     -1.3729e+00     -3.8696e-01               0
      3.9709e-01      1.8205e-01      1.0476e-01               1
      2.4327e+00      6.9676e-01     -5.4319e-01               0
     -1.4137e+00     -1.2752e+00     -6.9647e-01               0
     -1.2846e+00     -1.2904e+00     -7.1522e-01               0
      3.8230e-01      5.0847e-01      8.7351e-02               1
     -1.2471e+00     -8.8553e-01     -7.1048e-01               0
      3.2316e-01      1.2811e+00      2.4837e-01               1
      2.4967e+00     -1.2533e+00     -6.4007e-01               0
      4.2219e-02      8.7092e-01     -2.6080e-01               1
      2.3444e-01      1.2394e+00     -6.3114e-01               1
      2.6894e-01     -1.3683e+00     -4.6059e-01               1
      4.1188e-01     -2.6342e-01     -4.4219e-01               1
      3.2316e-01      5.1483e-01     -4.0389e-01               0
     -1.8889e+00     -1.7864e-01      9.8384e-01               1
      3.9216e-01      1.2726e+00     -6.3972e-01               0
     -1.2338e+00     -7.3221e-01     -7.0213e-01               0
      3.5766e-01     -7.7814e-01      1.1651e-01               1
     -1.5118e+00      5.3708e-01      6.3830e-01               1
      3.3794e-01      1.1539e+00      3.3802e-01               1
     -1.4477e+00     -3.1112e-01     -6.9890e-01               0
      2.1419e+00     -1.4886e+00     -6.7919e-01               0
     -1.6926e-02     -3.3620e-01     -6.9888e-01               0
      3.6259e-01      4.0249e-01      1.1079e+00               1
      4.6116e-01      1.7248e+00      1.7656e-01               1
      4.0695e-01      4.1697e-01      2.9470e+00               1
      1.6342e+00     -1.6039e+00     -6.8015e-01               0
     -1.3960e+00     -1.5828e+00     -6.9164e-01               0
      3.8230e-01      1.4559e+00      2.9169e+00               1
      4.2173e-01      1.0709e+00      3.6457e-01               1
      4.3652e-01      1.2941e-01     -5.4637e-01               1
     -1.3107e+00     -1.1448e+00     -6.8302e-01               0
      2.5908e-01      1.2164e-01      1.5219e-01               1
      4.0695e-01      1.4969e+00     -5.7514e-01               0
      5.0552e-01      1.0433e-01      1.3725e+00               1
     -1.3896e+00      1.2924e+00     -4.9228e-01               0
      1.8708e+00      1.9512e-01     -7.2135e-01               0
     -1.2161e+00      1.1811e-01     -6.6021e-01               0
     -1.2885e+00     -1.5415e+00     -7.2756e-01               0
      6.4846e-01     -4.4748e-01     -7.0720e-01               0
     -9.1741e-01     -1.6427e+00     -5.6356e-01               0
      4.2666e-01      9.4582e-01     -3.3382e-01               1
      1.5159e+00     -1.1102e+00     -5.6661e-01               0
      4.2666e-01      1.4955e-01     -2.5122e-01               1
     -1.1762e+00     -9.6148e-01     -5.1282e-01               0
     -1.3935e+00     -1.1847e+00     -6.4054e-01               0
      4.0202e-01      4.0108e-01     -2.9970e-01               1
      1.2251e+00      9.7090e-01     -7.2281e-01               0
      3.6259e-01      1.6615e-01     -2.1772e-01               1
      1.9250e+00     -1.5443e+00     -6.9369e-01               0
     -8.3017e-01     -1.5443e+00     -7.0056e-01               0
      2.8373e-01      3.0711e-01     -5.1474e-02               1
      2.4923e-01      5.4872e-02      1.1564e-01               1
     -1.0756e+00     -1.5067e+00     -5.6643e-01               0
      1.8264e+00      9.6560e-01     -4.0728e-01               0
     -1.1185e+00     -5.0188e-01     -7.1777e-01               0
     -1.4704e+00     -9.4771e-01     -6.8989e-01               0
     -1.3930e+00     -2.3975e-01     -4.4293e-01               0
      3.5766e-01     -1.6842e-02      1.6279e+00               1
     -1.3561e+00      1.4075e+00     -6.0255e-01               0
     -9.5787e-02     -7.0960e-01     -6.1561e-01               0
      3.3794e-01      1.7428e-01     -4.5494e-01               0
     -1.3556e+00      1.8449e+00     -6.9682e-01               0
     -1.7267e+00     -1.4854e+00     -6.4081e-01               0
     -1.2018e+00     -1.2900e+00     -4.7839e-01               0
      9.0968e-01     -1.3644e+00     -5.9246e-01               0
      3.8230e-01      1.2708e+00     -6.3471e-01               1
      3.0837e-01      2.6436e-01     -5.5667e-04               1
      9.1507e-02      1.5086e+00     -3.8840e-01               1
      3.3302e-01     -9.6007e-01      3.9916e-02               1
      5.0059e-01      1.3224e-01     -3.5302e-01               1
     -1.1826e+00     -1.4589e+00     -7.0908e-01               0
      4.2173e-01      6.2434e-01      1.8338e+00               1
     -1.2452e+00     -1.4943e+00     -6.7353e-01               0
      3.7245e-01     -7.4069e-01     -1.7724e-01               0
      3.5766e-01      1.0398e-01     -2.2120e-01               1
      1.2350e+00      6.9959e-01     -5.7152e-01               0
     -1.3447e+00     -1.0929e+00     -6.8859e-01               0
     -1.2723e+00     -1.0724e+00     -6.9345e-01               0
      2.0487e-01      2.8450e-01      4.4703e-02               1
      4.5131e-01      2.8980e-01     -2.0727e-01               1
      2.3292e+00     -1.5075e+00     -5.6526e-01               0
      2.0926e+00      5.8901e-01     -5.4881e-01               0
      2.9359e-01      4.6890e-01     -4.4410e-01               1
      4.0202e-01     -5.1672e-01      2.7298e+00               1
      4.6609e-01     -1.1378e+00      2.8295e+00               1
      4.3652e-01      5.6888e-01      1.1231e+00               1
      4.7595e-01      3.5798e-01      2.5013e+00               1
      3.3794e-01     -8.2300e-01     -2.4557e-01               1
      3.3302e-01     -1.0809e+00     -5.8005e-01               0
      2.9359e-01      1.4291e+00     -1.1872e-02               1
      3.2809e-01     -1.6557e-01      2.2128e+00               1
      5.0552e-01     -3.5919e-02      2.9471e-02               1
     -1.2762e+00     -7.0395e-01     -6.2040e-01               0
     -1.4783e+00      4.8515e-01     -4.6621e-01               0
     -3.3730e-01     -1.0516e+00     -3.3748e-01               1
     -1.2826e+00      7.5008e-02     -6.9197e-01               0
      3.3302e-01     -6.7746e-01      2.7294e+00               1
      1.0230e+00     -1.2989e+00     -6.9020e-01               0
      3.7245e-01     -1.2596e+00     -3.0005e-01               1
      4.2173e-01      1.3175e+00     -3.6372e-01               1
      4.1681e-01      9.1367e-01     -4.8988e-01               1
      3.3302e-01     -9.7667e-01     -7.2299e-01               0
     -1.5892e+00     -1.4259e+00     -6.7727e-01               0
     -1.1708e+00     -1.5874e+00     -6.8715e-01               0
      4.8581e-01      4.5972e-01      2.2024e+00               1
      3.2316e-01      2.6047e-01      2.7433e+00               1
      3.4780e-01     -8.0499e-01      1.1172e-01               1
     -1.2974e+00     -5.4922e-01     -5.8924e-01               0
      5.2524e-01     -1.6147e+00      2.7324e+00               1
      3.7738e-01      6.5826e-01     -1.4852e-01               1
     -1.3359e+00     -8.3325e-01     -6.6905e-01               0
      2.7387e-01      7.6035e-01     -1.9813e-01               1
      4.2666e-01      4.6608e-01      1.0570e+00               0
      2.3444e-01      1.2394e+00     -6.3114e-01               1
     -1.3960e+00     -2.1185e-01     -6.9235e-01               0
      1.6544e-01      4.4417e-01      1.0781e-01               1
     -1.3373e+00     -3.8883e-01     -6.6074e-01               0
      2.4918e+00      1.0698e+00     -5.7196e-01               0
      1.1122e-01      1.4372e+00     -9.2604e-03               1
     -6.1285e-02      1.3916e+00     -6.6091e-01               0
      9.4911e-01     -1.6408e+00     -7.0617e-01               0
      2.7387e-01      5.2543e-01     -6.7693e-01               0
      7.1746e-01     -9.7915e-01     -6.6165e-01               0
      4.0202e-01     -3.8566e-01      2.8704e+00               1
      4.0695e-01      1.7961e+00     -7.7585e-02               1
     -1.3235e+00     -1.4640e+00     -6.2627e-01               0
     -1.7331e+00      6.1584e-02     -7.1208e-01               0
      5.1538e-01      1.5291e+00      2.8469e+00               1
      2.8866e-01      1.6131e+00     -3.1324e-01               1
      4.2173e-01      1.1641e+00     -3.3861e-01               1
     -1.3078e+00      6.6883e-02     -7.0670e-01               0
      3.4780e-01      1.1073e+00      6.8638e-02               1
     -6.1824e-01      1.2913e+00      2.4274e+00               1
      1.6544e-01      3.0817e-01     -1.8856e-01               1
      4.7102e-01      1.1281e+00     -4.6051e-01               1
      6.2381e-01     -9.7844e-01     -5.7622e-01               0
     -9.3910e-01     -4.9446e-01     -6.9419e-01               0
      4.0695e-01      1.6403e-01     -4.6834e-01               0
      4.4145e-01      2.6295e-01      1.8592e-02               1
     -1.1234e+00     -1.2307e+00     -6.6087e-01               0
      5.0552e-01      1.0998e-01      2.3334e+00               1
     -1.9865e+00      1.4167e+00      7.5798e-01               1
     -1.3388e+00     -1.1240e+00     -5.8401e-01               0
     -1.3911e+00      9.2179e-01     -6.5747e-01               0
      4.4145e-01      3.9542e-01      7.4889e-04               0
      2.8373e-01      1.1532e+00     -7.0787e-01               0
      4.1681e-01     -3.2737e-01      1.8316e+00               1
      1.9743e+00      1.1532e+00     -7.2394e-01               0
      1.6638e+00      1.5485e-01     -6.8337e-01               0
     -7.7103e-01     -4.7291e-01     -3.8431e-01               0
      4.5131e-01     -2.2739e-01     -7.1334e-01               0
      4.1188e-01     -2.6342e-01     -4.4219e-01               1
     -2.2373e+00     -3.5527e-01     -6.7989e-01               0
     -1.3531e+00     -1.6708e+00     -6.9003e-01               0
      2.0487e-01      2.9933e-01     -3.4196e-01               1
      3.6259e-01      1.6075e+00     -6.5647e-01               0
     -1.1781e+00     -9.4347e-01     -7.2351e-01               0
     -1.3161e+00      7.8013e-01     -6.9440e-01               0
     -1.3921e+00     -1.4492e+00     -5.8771e-01               0
      3.8723e-01      7.9108e-01     -2.5253e-01               1
     -1.9239e+00      8.3948e-01     -6.3410e-01               0
      5.5481e-01     -4.1922e-01      3.2322e-01               0
      8.0618e-01      1.5520e+00     -6.6222e-01               0
     -1.3290e+00     -4.3335e-01     -6.1583e-01               0
      6.3860e-01     -6.2446e-01     -6.5895e-01               0
      3.9216e-01      2.4140e-01     -4.8749e-01               1
     -1.3994e+00     -1.5108e-01     -4.0637e-01               0
      6.5831e-01     -2.7793e-02     -7.1684e-01               0
      4.9567e-01     -5.6865e-01     -4.2069e-01               1
      3.6752e-01      1.3082e-01      1.1579e+00               1
      3.4287e-01     -1.6182e+00     -3.6564e-01               1
     -1.3058e+00     -1.0657e+00     -7.2223e-01               0
      1.3483e+00     -8.4455e-01     -6.9703e-01               0
      1.2350e+00     -6.3966e-01     -6.6452e-01               0
      1.8461e+00      4.5477e-01     -6.0338e-01               0
      5.0552e-01      3.4385e-01      2.6711e+00               1
     -1.2940e+00     -2.9451e-01     -7.2452e-01               0
      4.6116e-01      1.3623e+00      2.8203e+00               1
     -1.1560e+00     -3.8248e-01     -6.9707e-01               0
      1.7279e+00     -3.9098e-02     -5.4924e-01               0
     -6.6214e-02     -7.2621e-01      1.0693e-01               1
      4.7595e-01     -1.4427e+00     -5.0111e-01               0
      4.0695e-01     -1.7723e-01      2.9196e+00               1
      4.4638e-01      7.6883e-01     -2.3622e-02               1
     -1.3364e+00     -1.3684e+00     -7.0419e-01               0
      3.8723e-01      8.0451e-01     -2.3686e-01               0
      4.0202e-01      9.5323e-01     -2.2772e-01               1
      8.2589e-01     -6.4248e-01     -4.7204e-01               0
      2.4228e+00     -1.6702e+00     -6.5229e-01               0
      5.2524e-01     -7.6789e-01      1.5309e+00               1
      3.0344e-01      1.6453e+00     -3.8087e-01               1
      2.9359e-01      5.7029e-01     -8.4113e-02               1
     -1.3945e+00     -1.5360e+00     -6.7532e-01               0
      3.5273e-01     -7.8485e-01     -2.7037e-01               1
      6.5831e-01     -4.7362e-01     -6.0830e-01               0
      3.1330e-01      8.9139e-02      4.7749e-02               1
     -8.8143e-01      1.0903e+00     -6.9604e-01               0
      3.3794e-01      1.6912e+00      1.9615e-01               1
      3.9709e-01     -4.6903e-01      2.1356e-01               1
      3.2316e-01      7.2432e-01      2.7455e+00               1
      9.6883e-01     -1.1141e+00     -5.5616e-01               0
      2.0433e+00      1.2684e+00     -7.0281e-01               0
      4.0695e-01      4.0673e-01      6.7050e-01               1
     -1.3009e+00      1.5873e-01     -6.0133e-01               0
      1.6051e-01      3.8412e-01     -1.1284e-01               1
     -7.6072e-02      1.0755e+00      2.1797e+00               1
      2.8866e-01      1.2302e+00      7.6036e-02               1
     -9.2283e-01     -1.3442e+00     -7.2001e-01               0
      4.2173e-01      1.2556e+00      3.9372e-01               1
     -1.5862e+00     -1.4240e+00     -7.0484e-01               0
      5.2031e-01     -4.4359e-01      7.4231e-01               1
      3.2809e-01      5.1553e-01     -6.4168e-01               0
      2.5908e-01      1.3909e+00     -5.9707e-01               1
      1.7969e+00      1.5609e+00     -6.8667e-01               0
     -5.1473e-01      4.9646e-01     -6.8593e-01               0
      4.3652e-01     -2.1997e-01      2.6271e+00               1
      4.1681e-01      5.0070e-01     -6.1048e-02               1
     -1.3019e+00      9.1861e-01     -5.1134e-01               0
      3.8230e-01     -2.0937e-01     -1.4547e-01               1
      3.1823e-01      1.7029e+00      1.2173e-01               1
      5.3017e-01      5.4344e-01     -2.9170e-01               0
      2.4430e-01      4.4382e-01      2.2302e+00               1
     -9.8987e-01      8.8399e-01     -7.1318e-01               0
     -1.0298e+00      9.9139e-01     -6.8628e-01               0
      2.0088e+00     -5.8207e-01     -7.2122e-01               0
     -4.5559e-01      1.3026e+00     -6.6109e-01               0
      4.7595e-01      1.2973e+00      1.6710e+00               1
      3.0837e-01      6.8934e-01      2.5244e+00               1
     -1.3965e+00      1.4828e+00     -6.7358e-01               0
     -1.2664e+00     -4.8990e-02     -5.4363e-01               0
      4.1188e-01      7.9108e-01     -4.9615e-01               0
      4.4145e-01      1.0186e+00     -1.4547e-01               1
      4.0695e-01      3.1912e-01     -2.2555e-01               1
     -1.1796e+00     -1.0770e+00     -6.2270e-01               0
     -1.6479e+00      1.1981e+00     -6.3406e-01               0
      3.3302e-01     -6.6226e-01     -3.2477e-01               1
     -1.3048e+00      4.6855e-01     -7.1653e-01               0
      4.0202e-01      3.4914e-01     -5.1382e-01               0
     -3.0279e-01      4.7597e-01      2.8282e+00               1
      2.8373e-01      1.5167e+00     -1.4504e-01               1
      3.3302e-01      1.7647e+00      6.4722e-02               1
      9.6435e-02      1.0091e+00     -4.0594e-02               1
      4.0695e-01      1.4107e-01      2.5892e+00               1
     -1.3866e+00      1.3535e+00     -6.3850e-01               0
     -1.3245e+00     -8.6504e-01     -6.5269e-01               0
      3.7245e-01      8.3418e-01     -1.9683e-01               0
      3.0344e-01      1.2436e+00      1.5263e-01               1
      3.7245e-01      1.2143e+00     -3.8487e-01               1
     -1.2048e+00     -1.5680e+00     -6.6935e-01               0
      4.3159e-01     -4.8846e-01     -2.1728e-01               1
     -1.0012e+00     -2.1609e-01      1.6640e+00               1
      1.7575e-02      1.8127e+00     -5.4032e-01               1
     -1.3137e+00     -5.6759e-01     -5.9846e-01               0
      1.4913e+00     -1.3045e+00     -6.6800e-01               0
     -1.3600e+00     -1.7475e-01     -5.5377e-01               0
      3.6752e-01     -5.7183e-01      4.9490e-02               1
      3.1823e-01     -3.4178e-03     -4.7069e-01               1
     -2.1901e-01      1.1691e+00     -6.1048e-02               1
      3.2316e-01     -1.2982e-03      1.0758e-02               1
      3.9709e-01     -3.2454e-01     -5.5207e-01               1
      3.6259e-01      7.2679e-01     -5.4350e-01               1
     -6.7738e-01      1.3150e+00     -6.6439e-01               0
     -1.4019e+00      6.8298e-01     -6.5969e-01               0
      1.5558e-01      9.4900e-01      1.4697e-01               1
     -1.3541e+00     -1.6708e+00     -6.5273e-01               0
      4.5624e-01     -1.3474e+00     -1.5113e-01               1
      3.5273e-01      4.0496e-01     -4.7113e-01               1
      3.2316e-01      8.7092e-01     -5.6256e-01               0
     -2.0205e+00     -8.9578e-01     -6.9107e-01               0
      3.9216e-01      5.6782e-01     -2.9474e-01               1
      4.6116e-01      1.0468e-01     -3.2460e-01               1
      2.1813e+00     -1.2091e+00     -6.1374e-01               0
      3.2809e-01      1.1800e+00     -5.6069e-01               1
      4.2173e-01     -1.4720e-01      3.2803e+00               1
      4.6609e-01      9.1508e-01     -1.5679e-01               1
      4.1188e-01     -3.0546e-01     -1.2148e-04               1
      3.9216e-01      3.3077e-01     -5.7418e-01               0
      1.1615e-01      1.1843e+00     -6.4094e-02               1
      4.7595e-01      1.1387e+00      2.8282e+00               1
      3.6752e-01     -1.2165e+00      3.2801e-01               1
      2.4672e+00     -1.4557e+00     -6.4168e-01               0
     -1.6296e+00     -7.6825e-01     -6.7749e-01               0
     -1.3161e+00     -1.4956e+00     -6.6417e-01               0
      4.3159e-01     -6.3012e-01     -3.9724e-02               1
     -5.4923e-01      1.5188e+00      2.1558e+00               1
      4.1188e-01      1.5305e-02     -2.0292e-01               1
      1.3828e+00     -9.9116e-01     -5.1795e-01               0
     -5.4923e-01      2.5518e-01      1.8416e+00               1
      5.2031e-01     -8.1137e-02     -6.7140e-02               1
      4.3652e-01      6.7980e-01      1.6525e-01               1
      4.3159e-01     -8.1912e-01     -1.7681e-01               1
      3.5766e-01      1.0313e+00     -3.7112e-02               1
      3.7738e-01      1.6955e+00     -3.2751e-01               1
     -1.2654e+00     -1.4880e+00      8.4305e-02               0
     -1.3019e+00     -1.5882e+00     -6.2187e-01               0
      1.9008e-01      1.4008e+00      4.3833e-02               1
     -1.2782e+00     -1.4387e+00     -6.9487e-01               0
     -2.2393e-01      1.2938e+00     -6.5186e-01               0
      1.7081e+00     -3.3443e-01     -5.8823e-01               0
     -1.4818e+00     -1.5437e+00     -6.7545e-01               0
      1.8560e+00     -9.4912e-01     -4.8131e-01               0
      4.8581e-01      1.6336e+00      3.4890e-01               1
      9.8361e-01      9.8150e-01     -7.1967e-01               0
      3.9709e-01      5.6991e-02      1.5481e-01               1
      2.5657e+00     -2.2280e-01     -4.9389e-01               0
      3.1823e-01      1.8103e+00      1.8929e+00               1
      3.3794e-01      9.8503e-01     -3.9471e-01               1
      3.7738e-01     -5.9941e-02     -6.7183e-01               0
      8.7518e-01     -1.2218e+00     -3.0585e-02               0
      1.0920e+00     -6.4142e-01     -5.3893e-01               0
     -6.4781e-01     -1.1650e+00     -5.8449e-01               0
     -5.1966e-01      1.2510e+00      1.6153e+00               1
     -1.3166e+00     -9.4700e-01     -7.0237e-01               0
      2.3444e-01      5.1024e-01     -1.7115e-01               1
     -1.1392e+00      1.1104e+00      1.3533e+00               1
      2.4770e+00      3.7741e-01     -6.8929e-01               0
      1.8560e+00     -5.1884e-01     -6.3428e-01               0
     -2.0146e+00     -1.6610e+00     -2.4557e-01               1
      3.3302e-01      1.5563e+00     -3.3073e-01               1
     -1.5577e+00     -3.4997e-01     -5.3070e-01               0
      3.9709e-01     -1.0279e+00     -1.9422e-01               1
      2.1468e+00     -9.6078e-01     -7.2286e-01               0
     -1.3640e+00      1.5760e+00     -6.9395e-01               0
      2.9359e-01     -1.0297e+00      2.4249e-02               1
     -2.1200e+00     -1.4184e+00     -5.3627e-01               0
      2.1965e-01      7.4975e-01      1.1172e-01               1
     -6.7738e-01      2.3433e-01      1.1701e+00               1
      4.4145e-01      8.2400e-03      1.3934e+00               1
      2.5908e-01      6.6991e-01     -7.4103e-02               1
     -1.9332e+00      5.1377e-01      1.0408e+00               1
     -1.3285e+00     -1.2384e+00     -6.8907e-01               0
      1.6983e+00     -7.5200e-01     -5.3505e-01               0
      3.5273e-01      1.9795e-01      9.7796e-02               1
     -1.5000e-01     -5.3721e-01     -2.6167e-01               0
      1.1413e+00      1.2719e+00     -5.6173e-01               0
      1.9250e+00      1.4573e+00     -6.0077e-01               0
      6.6817e-01      1.5340e+00     -6.0025e-01               0
     -2.1855e-02     -1.0120e+00     -1.0566e-02               1
      1.7530e-01     -1.5228e+00     -3.1555e-01               1
      1.9008e-01      1.5379e-01     -6.7492e-01               0
      4.4145e-01      2.2868e-01      2.7646e+00               1
     -1.2856e+00     -9.3287e-01     -6.6404e-01               0
      3.0837e-01      1.5125e+00     -4.5006e-01               0
      3.6259e-01      8.1723e-01      7.8278e-01               1
      3.9709e-01      1.4026e+00      1.7737e+00               1
     -1.2521e+00     -1.3475e+00     -6.9412e-01               0
      4.3652e-01      9.1473e-01      6.1240e-02               1
      3.4287e-01      1.0447e+00     -8.7594e-02               1
      1.5558e-01     -1.3802e+00     -1.9552e-01               0
      3.4780e-01      1.5457e+00     -5.0033e-01               1
      4.0202e-01      1.7492e+00     -3.2760e-01               0
      3.0344e-01      2.4811e-01     -4.9589e-01               0
     -1.1984e+00     -1.3467e+00     -6.8432e-01               0
      3.8723e-01      1.5902e+00      1.8107e+00               1
      2.1473e-01      1.3514e+00     -3.2717e-01               1
      1.5558e-01      5.0564e-01     -1.7159e-01               0
      3.7738e-01      1.6665e+00     -1.3177e-02               0
      4.1188e-01      1.6135e+00     -4.3635e-01               1
     -7.0688e-03      1.5329e+00     -1.2850e-01               1
      4.0202e-01      9.5218e-01      2.7372e+00               1
      3.6259e-01      8.3772e-01     -5.2914e-01               0
     -1.3097e+00      6.2643e-02     -6.7732e-01               0
     -1.2866e+00     -1.6339e+00     -7.1468e-01               0
      4.4145e-01      6.9747e-01     -6.8063e-01               0
      3.8723e-01      6.9040e-01      6.2350e-01               1
      4.5131e-01     -1.1946e+00      1.8266e-01               1
      2.4820e+00     -7.9156e-01     -6.6104e-01               0
      3.6259e-01     -6.2164e-01     -4.7274e-01               1
     -2.8308e-01      7.9426e-01      1.5317e+00               1
      1.9994e-01     -2.6024e-01     -5.0881e-01               1
      3.6752e-01     -5.0329e-01     -6.8798e-01               0
      8.6578e-02      7.7695e-01      2.2720e+00               1
      3.7738e-01      1.1860e+00      9.4527e-03               1
     -1.2950e+00     -1.5223e+00     -5.6722e-01               0
      4.8581e-01     -9.2969e-01      1.9669e+00               1
      4.1188e-01      2.2373e-01     -6.8206e-01               1
      3.5766e-01      1.2758e+00      1.0432e-01               1
      3.1330e-01      6.2575e-01     -7.0193e-01               0
      3.6752e-01     -5.7183e-01      4.9490e-02               1
      5.5974e-01      1.6460e+00     -4.2739e-01               1
      2.8373e-01      1.4252e+00     -3.9519e-01               1
      4.2173e-01      1.6771e+00      2.8406e-01               1
     -1.3975e+00      1.2669e+00     -3.7769e-01               1
     -1.3004e+00      1.3294e-01     -4.3170e-01               0
     -1.2969e+00     -1.5783e+00     -6.1417e-01               0
      2.7387e-01      3.7387e-01     -1.7028e-01               1
      2.1473e-01      2.3716e-01     -8.7594e-02               1
     -1.3935e+00     -1.1847e+00     -6.4054e-01               0
      6.2874e-01      4.8268e-01     -7.1091e-01               0
     -1.2974e+00     -1.5927e+00     -6.7693e-01               0
      4.8581e-01     -1.3960e+00     -1.7985e-01               1
      1.5065e-01      1.3994e+00     -5.5612e-01               1
      4.4145e-01     -7.1137e-01     -5.7313e-01               1
     -1.6168e+00      3.6751e-01     -6.8315e-01               0
     -1.2501e+00     -5.5628e-01     -7.0245e-01               0
      2.5416e-01      1.3821e+00     -5.1330e-01               1
     -1.4591e+00     -1.6490e+00     -5.5107e-01               0
      4.3159e-01     -6.8452e-01      2.6754e+00               1
     -4.7037e-01     -3.7930e-01     -7.1682e-01               0
     -1.5306e+00      2.2727e-01      7.7843e-01               1
      1.4173e+00     -1.6175e+00     -7.1148e-01               0
      2.3144e+00     -3.6022e-01     -5.0411e-01               0
     -1.2876e+00      7.2255e-01     -7.1808e-01               0
     -2.4858e-01     -1.3878e+00     -1.4112e-01               0
     -3.2744e-01      1.4323e+00     -5.8440e-01               0
      3.6752e-01     -2.4293e-01     -5.3945e-01               0
      4.0202e-01      1.0076e+00      2.6045e+00               1
      5.6467e-01      9.5359e-01     -5.8423e-01               1
     -9.9972e-01      1.0066e+00     -6.5704e-01               0
      4.1681e-01     -2.0196e-01     -3.2268e-01               1
     -1.5922e+00     -6.2129e-01     -6.1086e-01               0
     -8.1539e-01     -1.1293e-01      2.1097e+00               1
      3.6752e-01      1.2136e+00      2.3194e+00               1
     -4.2601e-01     -5.5876e-01     -6.8733e-01               0
      3.6259e-01      9.8856e-01      3.1754e+00               1
      2.6401e-01     -2.9981e-01     -4.6207e-01               1
      1.7722e+00     -9.4523e-01     -6.7819e-01               0
      3.9216e-01      1.0963e+00      2.6071e+00               1
      3.3794e-01      1.6672e+00     -5.2896e-01               1
     -1.1047e+00      2.5094e-01      1.1868e-01               1
      3.8723e-01      7.9250e-01      1.1564e-01               1
      2.1473e-01     -8.0004e-01      2.7646e+00               1
      2.0729e+00     -3.5209e-01     -4.1590e-01               1
     -7.7596e-01     -1.5511e+00     -2.9387e-01               0
     -1.3925e+00      7.3315e-01     -5.4968e-01               0
      1.9501e-01      1.0546e+00     -5.7988e-01               1
      1.8708e+00     -1.4656e+00     -5.4541e-01               0
      4.1188e-01     -9.8621e-01      9.3597e-01               1
      2.2355e+00      7.6212e-01     -5.9859e-01               0
     -1.2230e+00      1.8812e-03     -6.8176e-01               0
      4.2173e-01      1.2917e+00     -3.0240e-01               0
     -1.6134e+00     -7.6648e-01     -2.2163e-01               0
     -9.5536e-01     -3.2739e-02     -7.1137e-01               0
      2.4031e+00     -1.0661e+00     -2.1902e-01               0
      3.4780e-01      1.1447e+00     -5.5673e-01               1
      4.5624e-01      3.8694e-01      9.3009e-02               1
      3.3794e-01     -5.5134e-01     -6.7836e-01               0
     -1.1077e+00     -9.7879e-01     -6.5843e-01               0
      3.5273e-01     -2.6696e-01      1.4306e-01               0
      4.2173e-01      4.8268e-01      2.8754e-01               1
      1.3094e-01     -6.4142e-01      2.4230e+00               1
      4.2219e-02      7.8013e-01     -4.2077e-01               0
      5.2031e-01      6.7236e-02      2.2137e+00               1
      3.0344e-01     -9.2192e-01     -3.5093e-01               1
      4.6116e-01     -6.2061e-02     -2.9648e-01               1
      4.4145e-01     -1.0113e+00     -5.9568e-01               1
      3.9709e-01     -1.4720e-01      2.7999e+00               1
      4.5131e-01      1.3294e-01      2.4957e+00               1
      2.2458e-01      1.6912e+00     -6.6396e-01               1
     -1.2481e+00     -1.3620e+00     -7.0728e-01               0
     -1.0761e+00     -1.1049e+00      5.9957e-01               0
     -1.2560e+00     -5.6724e-01     -6.0455e-01               0
      8.6532e-01     -1.6532e+00     -6.5029e-01               0
     -1.1274e+00     -4.0438e-01     -7.1220e-01               0
      3.5766e-01      1.7555e+00      1.5270e+00               1
     -1.3556e+00      1.7396e+00     -6.9968e-01               0
     -1.3817e+00     -1.0032e+00     -2.8560e-01               0
     -3.9644e-01     -1.3342e-01     -5.9372e-01               0
      4.3652e-01      2.7390e-01      2.6685e+00               1
      2.7887e-03      1.3270e+00     -6.2866e-01               0
      3.7738e-01      1.4966e+00     -4.2809e-01               1
      4.0202e-01     -3.1182e-01     -5.8950e-01               1
      1.1167e+00      6.3529e-01     -6.6091e-01               0
     -5.9359e-01     -1.4515e+00     -7.2460e-01               0
      4.8088e-01      2.1667e-01     -4.7652e-01               1
      7.6675e-01     -1.2452e+00     -6.8859e-01               0
      2.8866e-01      4.8268e-01     -7.2863e-01               0
      4.1188e-01     -3.5174e-01     -1.2415e-01               1
      1.8314e+00     -1.4431e+00     -7.0083e-01               0
      2.0487e-01      2.8450e-01      4.4703e-02               1
      4.3652e-01     -1.3644e+00     -4.6242e-01               1
     -1.2550e+00     -5.1460e-01     -5.0973e-01               0
