        f_mass4l     f_D_bkg_kin          f_pt4l         target
      3.9216e-01     -3.0758e-01      2.8752e+00               1
      2.9359e-01      1.4291e+00     -1.1872e-02               1
      9.2940e-01      8.7728e-01     -7.0933e-01               0
     -9.5142e-01     -7.1667e-01     -5.1256e-01               0
     -5.2459e-01      6.3141e-01     -5.6713e-01               0
      2.4327e+00     -1.6450e+00     -6.1922e-01               0
      3.3302e-01      1.6736e+00      9.2770e-01               1
      3.7738e-01     -9.6328e-02      2.5272e-01               1
     -8.4989e-01      3.6116e-01      2.1071e+00               1
     -1.4517e+00     -5.9267e-01     -6.5891e-01               0
      1.2991e+00     -3.1182e-01     -6.0342e-01               0
     -1.3600e+00      8.2111e-01      1.1958e+00               1
      3.9216e-01      8.4193e-02     -6.9872e-01               0
      5.8438e-01      1.5506e+00     -2.8082e-01               0
      4.0202e-01      3.7529e-01     -4.8771e-01               1
      2.2897e+00     -1.4699e+00     -6.8136e-01               0
      2.0487e-01      1.4499e+00     -4.3474e-01               1
      3.9709e-01     -1.6592e-01      2.8166e-02               1
      4.4145e-01     -2.5636e-01      3.2845e-01               1
      3.1330e-01     -8.6963e-01      9.8950e-01               1
      4.0695e-01      7.5011e-01     -3.9471e-01               1
      2.2947e+00      3.6855e-02     -7.1600e-01               0
     -8.0060e-01     -1.3372e+00     -6.8293e-01               0
      5.0552e-01      3.4632e-01     -4.4958e-01               1
     -1.5473e+00     -4.0650e-01     -6.5869e-01               0
      2.8373e-01      1.3464e+00      2.2313e-01               1
     -1.9076e+00      8.2676e-01      1.4756e+00               1
      5.9917e-01     -1.5332e+00     -6.0146e-01               0
      4.1681e-01      6.9747e-01     -4.0106e-01               1
      5.3017e-01     -1.2565e+00     -6.1048e-02               1
      8.3082e-01     -8.3254e-01     -6.5891e-01               0
      1.4079e-01      5.5369e-01     -4.0493e-01               1
      2.1172e+00     -2.7440e-02     -6.3789e-01               0
      4.9567e-01      1.7258e+00      1.2693e+00               1
      2.9851e-01      4.6820e-01     -3.3565e-01               1
      8.6578e-02     -9.7420e-01      2.2089e+00               1
      2.3538e+00     -4.1922e-01     -3.7482e-01               0
      3.9216e-01      3.3537e-01     -8.7159e-02               1
     -1.3354e+00     -1.0819e+00     -6.5943e-01               0
     -1.3428e+00     -5.5628e-01     -7.2112e-01               0
      5.0552e-01     -1.3325e+00     -5.6469e-01               0
     -1.4063e+00     -3.9837e-01     -6.0155e-01               0
     -4.1616e-01     -1.0996e+00     -6.8537e-01               0
      2.2951e-01      1.4376e+00     -4.3205e-02               1
      5.0552e-01     -3.8745e-02      1.1694e-01               1
      4.2173e-01      2.8379e-01      2.2659e+00               1
      4.0202e-01      8.7019e-02     -4.4345e-01               1
      4.1188e-01     -1.6310e-01      2.5827e+00               1
      9.9840e-01     -8.6222e-01     -6.2044e-01               0
      1.8515e-01      1.6605e+00     -5.1621e-01               1
     -1.2274e+00     -1.3818e+00     -4.1177e-01               0
      3.7245e-01      1.0401e+00      1.5829e-01               1
     -1.2304e+00      3.5798e-01     -8.3901e-03               0
     -1.3364e+00     -4.0403e-01     -5.6417e-01               0
     -9.9529e-01     -9.3499e-01     -5.1203e-01               0
      7.4210e-01     -1.6486e-01     -5.7888e-01               0
     -1.2950e+00     -1.6281e+00     -7.1910e-01               0
     -1.2338e+00     -8.5020e-01     -6.7758e-01               0
      3.2809e-01      1.2260e+00      2.7753e-01               1
     -1.2851e+00      5.1271e-01     -6.0086e-01               0
      4.3652e-01      6.8546e-01      2.7907e+00               1
      4.7148e-02     -3.2878e-01      1.7937e+00               1
     -1.5108e+00     -8.3749e-01     -5.7448e-01               0
      4.0202e-01     -9.5442e-01      2.5119e-02               1
      2.9851e-01      1.3789e-01     -3.6094e-01               1
      2.5312e+00     -1.5879e+00     -5.0133e-01               0
      3.1330e-01     -2.8780e-01     -6.8171e-01               0
     -4.2601e-01     -6.7074e-01     -5.3941e-01               0
      2.4923e-01      3.4808e-01     -5.6708e-01               0
      4.0202e-01      3.7529e-01     -4.8771e-01               1
      3.3302e-01      1.6460e+00      2.6911e+00               1
      6.6324e-01      6.9288e-01     -6.8385e-01               0
      4.0202e-01      1.2313e+00     -1.7811e-01               1
     -1.2905e+00     -1.2851e+00     -6.1996e-01               0
      4.3159e-01      7.5929e-01     -3.0523e-01               1
     -1.3645e+00      9.1755e-01     -5.7470e-01               0
      4.5131e-01     -9.2262e-01      3.0083e+00               1
      2.2951e-01      3.6434e-01      4.2304e-03               1
      4.6116e-01      1.1585e+00      1.1129e-01               1
      5.6960e-01      5.3567e-01     -1.9596e-01               0
     -2.2393e-01      1.2938e+00     -6.5186e-01               0
     -1.4246e+00     -1.4850e+00     -7.2488e-01               0
     -1.3097e+00     -1.4610e+00     -6.0020e-01               0
      3.6752e-01     -1.0042e+00      5.3168e-01               1
      3.2316e-01     -3.3726e-01      2.4469e+00               1
      3.6752e-01      1.2627e+00      2.4684e-02               1
      3.6752e-01     -8.0251e-01      2.0418e+00               1
     -1.5182e+00      2.7743e-01     -6.3471e-01               0
     -1.8514e+00     -9.2121e-01     -6.4211e-01               0
      3.4780e-01      6.1584e-02      2.2798e+00               1
      4.2666e-01      1.1949e+00     -6.8446e-02               1
      3.7245e-01      6.8369e-01      3.1212e-02               1
     -1.4201e+00     -1.6134e+00     -7.1553e-01               0
     -1.1082e+00     -2.9169e-01     -6.9811e-01               0
     -1.2516e+00     -1.6196e+00     -7.0594e-01               0
      3.9709e-01     -7.2303e-01      1.7863e+00               1
     -5.4430e-01     -5.7465e-01     -6.8045e-01               0
     -7.0688e-03     -6.9865e-01     -9.8039e-02               1
     -1.3142e+00     -3.9201e-01     -6.8798e-01               0
      4.3652e-01      1.3634e+00     -3.2368e-01               1
      2.0187e+00     -1.0657e-01     -6.7366e-01               0
      3.8723e-01     -8.0711e-01      4.2375e-01               0
     -1.3245e+00      1.6294e+00     -5.5834e-01               0
     -1.2639e+00      5.2825e-01     -6.6548e-01               0
     -1.3216e+00     -3.6729e-01     -6.6705e-01               0
      3.8230e-01      1.2708e+00     -6.3471e-01               1
      3.9709e-01      1.1652e+00      1.7482e-01               1
     -1.0411e+00     -1.1162e+00      1.5404e+00               1
      3.7245e-01     -6.3330e-01      2.7318e-01               1
      4.3159e-01     -9.9507e-02      1.6649e+00               1
     -1.1796e+00     -1.6082e+00     -7.0337e-01               0
     -1.8445e+00      2.7708e-01      8.9245e-01               1
      4.9567e-01      5.9361e-01     -5.7605e-01               1
      4.2666e-01     -1.4176e+00      2.0466e+00               1
      1.1068e+00      5.1130e-01     -4.8283e-01               0
     -1.1604e+00     -4.1286e-01     -7.1538e-01               0
     -5.5416e-01     -7.8485e-01     -5.0350e-01               0
      4.3652e-01      1.6146e+00     -2.9431e-01               1
     -1.3452e+00     -1.1070e+00     -7.3148e-01               0
     -1.2338e+00     -8.5020e-01     -6.7758e-01               0
     -1.2757e+00     -1.2268e+00     -6.9701e-01               0
      1.2054e+00     -1.3338e+00     -7.3056e-01               0
      3.2361e-02      7.0100e-01     -1.4983e-01               1
     -1.2516e+00     -1.5463e+00     -6.1561e-01               0
      3.9216e-01      2.8768e-01      2.5009e+00               1
      3.1823e-01     -2.5812e-01     -6.3101e-01               0
      4.0202e-01     -1.2374e+00     -5.7997e-01               0
     -1.6212e+00      1.4354e+00      1.6997e+00               1
     -1.6878e+00      2.7672e-01     -6.5038e-01               0
     -1.3852e+00     -6.6050e-01     -2.6036e-01               0
     -9.4008e-01     -1.2254e+00      1.2611e+00               1
      3.6752e-01     -1.9524e-01      7.5601e-02               1
     -1.2333e+00     -2.8603e-01      9.4119e-01               1
      3.7245e-01      1.4280e+00      4.3833e-02               1
      1.5065e-01     -6.9512e-01     -5.9964e-01               0
      3.1330e-01      1.2132e+00     -5.8606e-01               1
      3.5273e-01      1.1348e+00      2.9004e+00               1
     -6.6260e-01      1.1225e+00      1.8529e+00               1
      8.1649e-02      1.7605e+00     -4.9993e-01               1
      5.1045e-01     -1.2427e+00      1.8005e-01               1
      1.4272e+00      7.2891e-01     -4.7979e-01               0
      1.2301e+00      2.2267e-01     -2.5340e-01               0
      2.2504e-02     -5.5982e-01      2.6006e+00               1
     -1.1515e+00     -1.2148e+00      6.9313e-01               1
     -1.3102e+00     -9.8869e-01     -6.5073e-01               0
      2.8866e-01     -6.5520e-01     -4.9606e-01               1
      9.8854e-01      4.4311e-01     -6.8676e-01               0
      4.8581e-01      3.0849e-02      1.9987e+00               1
      4.4638e-01      1.2002e+00     -2.7473e-01               1
      5.5481e-01      6.4377e-01     -6.8863e-01               0
      4.4638e-01      6.2081e-01      1.5143e+00               1
      5.1538e-01     -2.5177e-01     -6.5495e-01               0
     -1.5251e+00     -8.1844e-02     -7.2789e-01               0
     -1.3723e+00     -1.1681e+00     -7.0043e-01               0
      3.7738e-01     -4.4077e-01     -5.2818e-01               1
     -1.9465e+00      1.5736e+00      1.0234e+00               1
     -2.2393e-01      1.5905e+00     -2.7211e-01               1
      1.3976e+00     -1.0169e+00     -6.7249e-01               0
      1.3587e-01     -6.4672e-01     -2.3622e-02               1
      1.3927e+00     -1.6018e+00     -6.3811e-01               0
      6.4846e-01      1.2532e+00     -6.5169e-01               0
      3.5766e-01      7.6530e-01      2.7150e+00               1
     -2.1408e-01      8.7340e-01     -6.8789e-01               0
     -4.6499e-02      1.4863e+00     -7.2178e-01               0
      3.3794e-01     -3.2739e-02      2.7537e+00               1
      4.0695e-01      1.4581e+00      3.7283e-01               1
     -1.3467e+00     -2.9910e-01     -6.8872e-01               0
      3.9709e-01     -1.2049e+00      3.5129e-02               1
     -1.4349e+00      4.7667e-01     -6.7854e-01               0
      3.9216e-01      1.3213e+00     -3.6677e-02               1
      2.4425e+00     -1.2957e+00     -6.4764e-01               0
     -1.3748e+00      9.1258e-02     -7.0723e-01               0
     -8.3017e-01      6.0171e-02     -6.4094e-02               1
      2.7880e-01      1.2878e+00     -1.4678e-01               1
     -8.6172e-01     -1.4426e+00     -6.7292e-01               0
     -1.1895e+00     -7.6189e-01     -6.9226e-01               0
      5.3510e-01     -1.2742e-01     -4.0650e-01               0
     -1.2920e+00     -1.5454e+00      4.6444e-02               0
      4.7148e-02     -1.6257e+00     -6.9579e-01               0
      3.3302e-01      2.3009e-01     -2.2685e-01               1
      5.9917e-01     -4.1392e-01     -6.3898e-01               0
     -1.3255e+00     -1.0908e+00     -2.2642e-01               0
      5.7453e-01     -1.6196e+00      1.3653e-01               1
     -1.8899e+00     -1.3292e+00     -6.4633e-01               0
      4.2173e-01     -6.5131e-01     -4.4710e-01               1
      1.1610e+00     -8.4561e-01     -6.6313e-01               0
      1.6096e+00     -1.6093e+00     -6.1352e-01               0
      3.3302e-01      8.8081e-01      1.1607e-01               1
      2.5416e-01      1.3270e+00     -5.1926e-01               1
      3.6752e-01     -3.3761e-01     -4.8000e-01               1
     -1.2521e+00      4.1450e-01     -7.1268e-01               0
      3.6259e-01      1.8311e+00     -2.4731e-01               1
      4.3159e-01     -1.0417e+00     -5.2235e-01               1
      3.8723e-01     -7.9121e-01     -3.1428e-01               1
     -8.0060e-01     -1.5011e+00     -5.5973e-01               0
      3.9709e-01      4.3110e-01      2.7594e+00               1
     -1.0599e+00     -8.1417e-01     -1.3895e-01               0
      5.7005e-02     -7.6577e-01      2.6994e+00               1
      1.3188e+00     -1.0537e+00     -5.7013e-01               0
     -1.3403e+00     -1.4849e+00     -7.1670e-01               0
     -1.0135e+00     -8.0075e-01     -6.7754e-01               0
      4.5624e-01     -2.2456e-01      2.3351e+00               1
      2.8866e-01     -9.4064e-01      7.7777e-02               1
      4.1681e-01      1.7764e+00      1.2956e-01               1
      8.9490e-01     -1.6733e-01     -6.8772e-01               0
      1.0629e-01     -2.1503e-01     -1.0196e-01               1
     -1.2821e+00      2.0604e-02     -6.8676e-01               0
      4.7102e-01      2.8026e-01     -5.5098e-01               0
     -1.2333e+00      5.8407e-01      1.1353e+00               1
      3.6259e-01      9.3592e-01     -1.3851e-01               1
     -1.0209e+00      4.8833e-01     -7.0033e-01               0
     -1.6557e+00     -3.3796e-01     -6.6944e-01               0
      2.4031e+00     -1.0661e+00     -2.1902e-01               0
      2.5416e-01      1.6160e+00      6.7768e-02               1
      4.9074e-01      2.0678e-01      3.5412e-01               1
      4.4638e-01     -8.6433e-01      2.5583e+00               1
     -5.9852e-01      1.6333e-01      1.5148e+00               1
      4.3159e-01     -7.0501e-01     -2.8996e-01               0
     -4.1616e-01     -1.0996e+00     -6.8537e-01               0
      6.3367e-01     -3.5916e-01     -6.1130e-01               0
      4.5624e-01      3.5833e-01      1.1999e-01               1
      4.2173e-01      6.6037e-01      4.8409e+00               1
     -9.1741e-01     -1.6427e+00     -5.6356e-01               0
      4.1681e-01      9.2568e-01      2.0731e+00               1
      2.9851e-01      1.0825e+00     -5.4798e-01               1
     -1.2171e+00     -1.5446e+00     -6.8123e-01               0
     -1.3921e+00     -1.3513e+00     -7.1762e-01               0
      3.7738e-01     -2.8147e-02     -1.0892e-01               1
     -1.3522e-01      1.4358e+00     -8.5854e-02               1
      4.9074e-01     -9.3958e-01      1.5805e+00               1
      1.5110e+00      6.8016e-01     -6.8950e-01               0
     -9.3368e-01      1.1712e+00     -6.6979e-01               0
      3.4780e-01      6.1584e-02      2.2798e+00               1
      3.9216e-01      6.9217e-01      2.1530e-01               1
     -1.3521e+00      1.5905e+00     -6.9961e-01               0
     -1.2393e+00     -9.7279e-01     -5.2761e-01               0
      2.9359e-01      1.2888e+00     -9.3687e-02               1
     -3.1713e-02      1.1338e+00     -5.6382e-01               0
      4.2219e-02      7.6777e-01     -7.1148e-01               0
      4.2173e-01      4.3499e-01      2.7947e+00               1
     -1.6710e+00     -1.4954e+00     -2.4252e-01               0
      1.8022e-01     -1.2830e+00     -7.1152e-01               0
      2.4430e-01      4.9540e-01     -7.0252e-01               0
     -1.2659e+00     -6.5767e-01     -7.1976e-01               0
      3.9216e-01      4.6537e-01     -3.7312e-01               0
      3.0344e-01     -1.9065e-01     -4.0141e-01               1
     -1.3433e+00     -1.6128e+00     -4.9410e-01               0
      3.4780e-01     -1.0346e+00      2.8543e+00               1
     -1.3009e+00      1.5873e-01     -6.0133e-01               0
     -9.6522e-01     -1.5537e+00     -6.9203e-01               0
     -1.2826e+00      7.5008e-02     -6.9197e-01               0
      4.5624e-01      1.2941e-01      2.7807e+00               1
      4.3652e-01      2.9333e-01      1.7526e-01               1
      4.8088e-01     -6.8452e-01      1.3131e-01               1
     -2.5351e-01     -1.0028e+00     -4.5707e-01               1
      1.2251e+00     -1.1102e+00     -2.9648e-01               0
      4.3159e-01      1.2419e+00      1.5687e+00               1
      3.6259e-01      1.6015e+00      1.8788e-01               1
      6.0903e-01     -9.1382e-02     -7.2330e-01               0
     -1.4354e+00     -7.2197e-01     -6.1139e-01               0
      4.4145e-01     -5.9444e-01      9.3444e-02               1
     -1.3216e+00     -3.0122e-01     -6.9991e-01               0
     -1.7573e+00     -2.0584e-01      1.2258e+00               1
      4.0695e-01      7.8190e-01      3.3970e+00               1
     -1.1929e+00     -1.5268e+00     -6.0577e-01               0
     -1.0648e+00     -5.0647e-01     -7.0362e-01               0
     -1.1949e+00     -7.2550e-01     -6.3354e-01               0
      2.7880e-01      1.6227e-01      3.2311e+00               1
     -5.9852e-01      7.5540e-01     -5.9559e-01               1
      3.6259e-01      2.7814e-01      4.2962e-02               1
      3.7290e-02      1.2895e+00     -1.1414e-01               1
      4.7102e-01      1.2291e+00     -7.0373e-01               0
     -2.0826e+00      1.2182e+00     -7.1458e-01               0
     -1.1639e+00     -9.1944e-01     -7.2295e-01               0
     -1.0091e+00     -1.0300e+00     -6.0695e-01               0
      3.5766e-01      2.6507e-01     -2.5688e-01               1
      2.3444e-01      1.8505e+00     -4.4689e-01               1
      4.3159e-01      1.1754e+00      6.1741e-01               1
     -1.6212e+00      1.0921e+00     -7.2442e-01               0
      4.4638e-01      4.6746e-02      9.7796e-02               1
     -1.3211e+00     -3.9590e-01     -6.9271e-01               0
      2.3045e+00     -1.5891e+00     -7.0564e-01               0
     -3.6641e-02     -1.4215e+00     -4.6508e-01               1
      4.3652e-01      6.7980e-01      1.6525e-01               1
      3.1330e-01      1.7502e+00     -1.0566e-02               1
     -1.4773e+00     -8.7670e-01     -7.1754e-01               0
     -1.3166e+00     -1.1123e+00     -7.2765e-01               0
     -1.2057e+00     -1.8782e-01     -6.7014e-01               0
     -1.0145e+00     -7.0642e-01     -7.1796e-01               0
     -2.0431e+00      1.4319e-01      8.9245e-01               1
      4.2173e-01      4.7844e-01      2.2933e+00               1
     -1.3354e+00     -6.4919e-01     -7.3132e-01               0
      4.6609e-01     -2.2986e-01      1.2064e-02               1
     -1.5000e-01      2.9792e-01     -7.0607e-01               0
      4.0695e-01      1.3715e+00      1.4675e-02               1
     -1.2890e+00     -1.4237e+00      2.0137e-01               0
      1.9501e-01      1.1069e+00     -4.3757e-01               1
     -1.0648e+00     -5.0647e-01     -7.0362e-01               0
     -1.3201e+00      9.8468e-01     -7.2212e-01               0
     -1.9229e+00     -1.4273e+00     -6.2379e-01               0
      5.1538e-01      1.5863e+00     -5.6365e-01               1
      4.5624e-01      7.3032e-01     -4.7496e-01               1
