    f_weight    f_mass4l f_D_bkg_kin      f_pt4l
         1.0   1.074e+02   9.192e-01   6.561e+02
         1.0   9.714e+01   6.422e-01   5.821e+02
         1.0   7.988e+01   6.446e-01   4.205e+02
         1.0   9.960e+01   5.277e-02   5.147e+02
         1.0   1.263e+02   4.086e-01   2.698e+02
         1.0   1.292e+02   7.156e-01   7.655e+02
         1.0   1.251e+02   4.785e-01   7.508e+02
         1.0   1.249e+02   9.484e-01   6.184e+02
         1.0   1.247e+02   7.550e-01   8.819e+02
         1.0   1.286e+02   5.986e-01   7.067e+02
         1.0   1.254e+02   3.403e-01   8.305e+02
         1.0   1.245e+02   9.469e-01   8.016e+02
         1.0   1.266e+02   1.317e-01   6.313e+02
         1.0   1.101e+02   5.637e-02   5.990e+02
         1.0   1.239e+02   7.951e-01   6.401e+02
         1.0   1.039e+02   3.904e-01   5.351e+02
         1.0   1.444e+02   6.335e-01   5.517e+02
         1.0   8.734e+01   5.670e-01   3.875e+02
         1.0   1.097e+02   9.250e-02   6.014e+02
         1.0   1.248e+02   1.834e-01   6.892e+02
         1.0   1.224e+02   5.986e-01   6.811e+02
         1.0   9.012e+01   1.967e-01   3.713e+02
         1.0   1.241e+02   6.700e-01   6.284e+02
         1.0   1.266e+02   3.832e-02   8.147e+02
         1.0   1.246e+02   6.627e-01   6.979e+02
         1.0   1.239e+02   4.512e-01   8.257e+02
         1.0   1.244e+02   8.777e-01   6.279e+02
         1.0   1.245e+02   4.525e-01   7.835e+02
         1.0   1.143e+02   2.310e-01   6.992e+02
         1.0   1.259e+02   1.716e-01   8.354e+02
         1.0   1.267e+02   2.183e-01   2.683e+02
         1.0   1.203e+02   9.319e-01   3.430e+02
         1.0   1.253e+02   4.782e-01   2.985e+02
         1.0   7.925e+01   4.292e-01   5.466e+02
         1.0   1.269e+02   4.793e-01   7.924e+02
         1.0   7.977e+01   2.239e-01   3.383e+02
         1.0   1.265e+02   1.029e-01   5.685e+02
         1.0   1.266e+02   2.247e-01   6.847e+02
         1.0   1.205e+02   5.887e-01   2.911e+02
         1.0   1.245e+02   1.801e-01   8.245e+02
         1.0   1.054e+02   8.114e-01   5.546e+02
         1.0   9.097e+01   2.449e-01   4.642e+02
         1.0   1.028e+02   9.523e-01   5.951e+02
         1.0   1.266e+02   2.388e-01   6.771e+02
         1.0   1.261e+02   3.707e-01   8.696e+02
         1.0   1.286e+02   1.784e-01   8.337e+02
         1.0   1.261e+02   7.475e-01   8.016e+02
         1.0   1.247e+02   5.832e-01   7.758e+02
         1.0   8.995e+01   1.150e-04   5.046e+02
         1.0   1.250e+02   4.077e-01   7.203e+02
         1.0   1.159e+02   7.774e-01   6.695e+02
         1.0   1.241e+02   4.646e-01   4.260e+02
         1.0   1.183e+02   9.627e-01   3.902e+02
         1.0   1.260e+02   7.305e-01   8.440e+02
         1.0   1.235e+02   9.185e-01   6.570e+02
         1.0   1.150e+02   5.482e-01   6.022e+02
         1.0   1.202e+02   7.450e-01   5.173e+02
         1.0   1.278e+02   7.801e-01   7.046e+02
         1.0   7.891e+01   5.400e-01   4.380e+02
         1.0   1.250e+02   2.976e-01   7.259e+02
         1.0   1.208e+02   6.201e-01   7.289e+02
         1.0   1.244e+02   8.867e-01   5.847e+02
         1.0   1.291e+02   9.593e-01   3.052e+02
         1.0   1.265e+02   8.568e-01   7.555e+02
         1.0   8.821e+01   6.190e-01   5.324e+02
         1.0   1.248e+02   1.795e-01   8.204e+02
         1.0   1.281e+02   1.589e-02   7.965e+02
         1.0   8.392e+01   4.641e-01   4.099e+02
         1.0   1.256e+02   4.615e-01   8.732e+02
         1.0   9.289e+01   1.349e-01   4.629e+02
         1.0   1.279e+02   8.187e-01   6.281e+02
         1.0   1.239e+02   9.854e-01   6.036e+02
         1.0   1.233e+02   5.239e-01   8.324e+02
         1.0   1.245e+02   5.533e-01   7.794e+02
         1.0   8.137e+01   6.053e-01   4.611e+02
         1.0   7.592e+01   7.597e-01   6.654e+02
         1.0   1.267e+02   6.263e-01   6.552e+02
         1.0   8.730e+01   7.000e-01   3.946e+02
         1.0   1.279e+02   8.187e-01   6.281e+02
         1.0   1.230e+02   7.691e-01   7.493e+02
         1.0   1.277e+02   5.041e-01   7.048e+02
         1.0   1.282e+02   5.911e-01   5.240e+02
         1.0   1.254e+02   6.177e-01   7.876e+02
         1.0   9.857e+01   8.356e-01   5.604e+02
         1.0   1.224e+02   6.066e-01   7.904e+02
         1.0   9.102e+01   8.119e-01   3.607e+02
         1.0   1.255e+02   4.313e-01   8.120e+02
         1.0   1.111e+02   2.232e-01   4.612e+02
         1.0   1.259e+02   3.803e-01   5.895e+02
