    f_weight    f_mass4l f_D_bkg_kin      f_pt4l
         1.0   1.262e+02   9.087e-01   4.588e+01
         1.0   1.218e+02   1.562e-01   1.913e+02
         1.0   1.233e+02   7.809e-01   5.005e+01
         1.0   1.266e+02   5.667e-01   1.526e+02
         1.0   1.251e+02   8.339e-01   2.265e+02
         1.0   1.262e+02   7.605e-01   6.507e+01
         1.0   1.279e+02   5.831e-01   4.077e+01
         1.0   1.251e+02   3.407e-01   1.389e+02
         1.0   1.262e+02   8.420e-01   1.102e+01
         1.0   1.204e+02   5.329e-01   3.038e+01
         1.0   1.253e+02   7.591e-01   1.340e+02
         1.0   1.297e+02   4.827e-01   7.741e+01
         1.0   1.256e+02   8.990e-01   2.289e+02
         1.0   1.257e+02   6.510e-01   1.636e+02
         1.0   1.259e+02   5.397e-01   2.043e+02
         1.0   1.246e+02   9.169e-01   3.320e+01
         1.0   1.595e+02   3.733e-01   7.306e+01
         1.0   1.283e+02   4.097e-01   1.448e+02
         1.0   1.243e+02   2.010e-01   2.234e+01
         1.0   1.316e+02   9.556e-01   1.429e+02
         1.0   1.191e+02   9.713e-01   5.375e+01
         1.0   1.183e+02   7.653e-01   9.491e+01
         1.0   1.235e+02   5.120e-01   8.569e+01
         1.0   1.256e+02   8.712e-01   4.318e+01
         1.0   1.183e+02   6.800e-01   1.529e+02
         1.0   1.244e+02   4.746e-01   7.091e+01
         1.0   1.269e+02   8.350e-01   7.803e+01
         1.0   1.241e+02   5.916e-01   8.825e+01
         1.0   7.456e+01   8.476e-01   4.998e+01
         1.0   1.240e+02   9.274e-01   1.832e+01
         1.0   1.232e+02   2.574e-01   2.956e+01
         1.0   1.252e+02   8.878e-01   2.755e+02
         1.0   1.144e+02   8.248e-01   4.048e+01
         1.0   1.267e+02   5.193e-01   9.984e+01
         1.0   1.250e+02   3.503e-02   5.667e+01
         1.0   1.289e+02   5.211e-01   5.789e+01
         1.0   1.250e+02   9.173e-01   4.926e+01
         1.0   1.188e+02   8.931e-01   5.052e+01
         1.0   1.269e+02   2.030e-01   2.060e+02
         1.0   1.259e+02   5.472e-01   6.129e+01
         1.0   1.243e+02   9.144e-01   8.495e+01
         1.0   1.251e+02   1.650e-01   2.140e+02
         1.0   1.251e+02   5.860e-01   4.697e+01
         1.0   1.238e+02   4.982e-01   1.796e+02
         1.0   1.213e+02   4.388e-01   1.422e+02
         1.0   1.247e+02   2.000e-01   5.076e+01
         1.0   1.260e+02   7.589e-01   6.022e+01
         1.0   1.236e+02   3.013e-01   1.388e+02
         1.0   1.269e+02   7.107e-01   1.119e+02
         1.0   1.246e+02   2.508e-01   1.065e+02
         1.0   1.242e+02   7.907e-01   4.275e+01
         1.0   1.257e+02   5.106e-01   2.199e+02
         1.0   1.267e+02   8.609e-01   1.776e+02
         1.0   1.475e+02   4.209e-01   5.140e+01
         1.0   1.251e+02   5.791e-01   7.905e+01
         1.0   1.287e+02   9.209e-01   3.191e+01
         1.0   1.297e+02   7.336e-01   2.445e+02
         1.0   1.248e+02   2.806e-01   5.032e+01
         1.0   1.210e+02   4.192e-02   9.612e+01
         1.0   1.264e+02   2.716e-01   3.693e+01
         1.0   1.210e+02   5.468e-01   7.282e+01
         1.0   1.123e+02   7.728e-01   4.729e+01
         1.0   8.242e+01   7.924e-01   8.530e+00
         1.0   1.262e+02   8.986e-01   1.149e+02
         1.0   1.248e+02   9.471e-01   1.378e+02
         1.0   1.264e+02   3.847e-01   1.444e+02
         1.0   1.262e+02   7.740e-01   2.234e+02
         1.0   1.245e+02   6.777e-01   4.331e+02
         1.0   1.259e+02   4.996e-01   1.635e+02
         1.0   1.239e+02   7.006e-01   2.140e+01
         1.0   1.014e+02   8.922e-01   8.092e+01
         1.0   1.235e+02   8.301e-01   7.672e+01
         1.0   1.240e+02   8.958e-01   1.642e+02
         1.0   1.245e+02   8.605e-01   1.159e+02
         1.0   1.261e+02   3.232e-01   4.728e+01
         1.0   1.264e+02   6.387e-01   1.173e+02
         1.0   1.292e+02   2.404e-02   1.633e+02
         1.0   1.231e+02   8.309e-01   7.332e+01
         1.0   1.251e+02   5.996e-01   1.032e+02
         1.0   1.223e+02   9.039e-01   5.236e+01
         1.0   1.276e+02   5.104e-01   8.751e+01
         1.0   1.263e+02   7.277e-01   4.362e+01
         1.0   1.219e+02   7.678e-01   6.880e+01
         1.0   1.263e+02   7.163e-01   6.990e+01
         1.0   1.272e+02   4.691e-01   1.473e+02
         1.0   1.259e+02   8.025e-01   7.660e+01
         1.0   1.239e+02   9.709e-02   6.390e+01
